PlayerID	PlayerName	PlayerTrueName	League	TeamName3	Year	Comment	StartDate	EndDate
1	J. Howard	Howard, Josh	NBA	DAL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
1	Howard	Howard, Josh	NBA	DAL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
2	Thomas	Thomas, Kurt	NBA	PHX	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
2	K. Thomas	Thomas, Kurt	NBA	PHX	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
3	Dampier	Dampier, Erick	NBA	DAL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
4	Marion	Marion, Shawn	NBA	PHX	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
5	Nowitzki	Nowitzki, Dirk	NBA	DAL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
6	Terry	Terry, Jason	NBA	DAL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
7	Bell	Bell, Raja	NBA	PHX	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
7	R. Bell	Bell, Raja	NBA	PHX	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
8	Nash	Nash, Steve	NBA	PHX	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
10	J. Jones	Jones, James	NBA	PHX	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
10	Ja. Jones	Jones, James	NBA	PHX	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
10	Jones	Jones, James	NBA	PHX	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
12	Diaw	Diaw, Boris	NBA	PHX	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
15	Harris	Harris, Devin	NBA	DAL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
15	D. Harris	Harris, Devin	NBA	DAL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
16	Barbosa	Barbosa, Leandro	NBA	PHX	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
17	Diop	Diop, DeSagana	NBA	DAL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
20	House	House, Eddie	NBA	NJN	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
21	Martin	Martin, Kenyon	NBA	DEN	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
21	K. Martin	Martin, Kenyon	NBA	DEN	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
22	Nesterovic	Nesterovic, Rasho	NBA	TOR	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
23	Camby	Camby, Marcus	NBA	DEN	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
24	Ginobili	Ginobili, Manu	NBA	SAS	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
25	Anthony	Anthony, Carmelo	NBA	DEN	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
26	Duncan	Duncan, Tim	NBA	SAS	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
28	Bowen	Bowen, Bruce	NBA	SAS	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
28	B. Bowen	Bowen, Bruce	NBA	SAS	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
29	Finley	Finley, Michael	NBA	SAS	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
30	W. Parker	Parker, Tony	NBA	SAS	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
30	T. Parker	Parker, Tony	NBA	SAS	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
30	Parker	Parker, Tony	NBA	SAS	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
32	Horry	Horry, Robert	NBA	SAS	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
33	Barry	Barry, Brent	NBA	SAS	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
34	Nene	Hilario, Nene	NBA	DEN	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
34	Hilario	Hilario, Nene	NBA	DEN	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
36	Najera	Najera, Eduardo	NBA	DEN	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
37	Oberto	Oberto, Fabricio	NBA	SAS	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
39	Buckner	Buckner, Greg	NBA	DAL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
40	Mohammed	Mohammed, Nazr	NBA	DET	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
41	Johnson	Johnson, DerMarr	NBA	DEN	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
41	D. Johnson	Johnson, DerMarr	NBA	DEN	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
42	Elson	Elson, Francisco	NBA	SAS	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
44	Webber	Webber, Chris	NBA	DET	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
46	Iverson	Iverson, Allen	NBA	DEN	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
47	Ford	Ford, T.J.	NBA	TOR	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
47	T. Ford	Ford, T.J.	NBA	TOR	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
62	Wells	Wells, Bonzi	NBA	HOU	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
63	E. Smith	Smith, J.R.	NBA	DEN	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
63	Smith	Smith, J.R.	NBA	DEN	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
66	P. Brown	Brown, Collier (P.J.)	NBA	CHI	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
66	C. Brown	Brown, Collier (P.J.)	NBA	CHI	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
66	Brown	Brown, Collier (P.J.)	NBA	CHI	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
71	Nachbar	Nachbar, Bostjan	NBA	NJN	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
87	Davis	Davis, Baron	NBA	GSW	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
87	B. Davis	Davis, Baron	NBA	GSW	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
90	J. Richardson	Richardson, Jason	NBA	GSW	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
90	Richardson	Richardson, Jason	NBA	GSW	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
93	Foyle	Foyle, Adonal	NBA	GSW	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
95	Harrington	Harrington, Al	NBA	GSW	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
98	Pietrus	Pietrus, Mickael	NBA	GSW	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
101	Biedrins	Biedrins, Andris	NBA	GSW	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
103	Fisher	Fisher, Derek	NBA	UTA	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
107	Cabarkapa	Cabarkapa, Zarko	NBA	GSW	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
110	Hinrich	Hinrich, Kirk	NBA	CHI	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
112	Nocioni	Nocioni, Andres	NBA	CHI	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
113	Duhon	Duhon, Chris	NBA	CHI	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
119	Gordon	Gordon, Ben	NBA	CHI	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
120	Sweetney	Sweetney, Michael	NBA	CHI	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
121	Songaila	Songaila, Darius	NBA	WAS	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
122	Deng	Deng, Luol	NBA	CHI	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
123	Ely	Ely, Melvin	NBA	SAS	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
129	JonesNotStarting	Jones, Jumaine	NBA	PHX	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
129	Ju. Jones	Jones, Jumaine	NBA	PHX	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
130	Allen	Allen, Malik	NBA	CHI	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
130	M. Allen	Allen, Malik	NBA	CHI	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
131	Piatkowski	Piatkowski, Eric	NBA	PHX	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
132	Okur	Okur, Mehmet	NBA	UTA	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
133	Giricek	Giricek, Gordan	NBA	UTA	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
136	Kirilenko	Kirilenko, Andrei	NBA	UTA	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
137	J. Collins	Collins, Jarron	NBA	UTA	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
137	Collins	Collins, Jarron	NBA	UTA	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
138	Harpring	Harpring, Matt	NBA	UTA	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
139	D. Williams	Williams, Deron	NBA	UTA	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
139	Williams	Williams, Deron	NBA	UTA	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
141	Humphries	Humphries, Kris	NBA	TOR	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
144	Battie	Battie, Tony	NBA	ORL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
147	Jackson	Jackson, Stephen	NBA	GSW	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
148	Stevenson	Stevenson, DeShawn	NBA	WAS	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
149	D. Howard	Howard, Dwight	NBA	ORL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
149	Howard	Howard, Dwight	NBA	ORL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
150	Croshere	Croshere, Austin	NBA	DAL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
151	Turkoglu	Turkoglu, Hedo	NBA	ORL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
153	Jasikevicius	Jasikevicius, Sarunas	NBA	GSW	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
156	Outlaw	Outlaw, Bo	NBA	ORL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
156	B. Outlaw	Outlaw, Bo	NBA	ORL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
158	Nelson	Nelson, Jameer	NBA	ORL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
158	J. Nelson	Nelson, Jameer	NBA	ORL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
161	Garrity	Garrity, Pat	NBA	ORL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
163	Evans	Evans, Reggie	NBA	DEN	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
163	R. Evans	Evans, Reggie	NBA	DEN	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
174	Murray	Murray, Ronald (Flip)	NBA	DET	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
174	F. Murray	Murray, Ronald (Flip)	NBA	DET	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
180	Radmanovic	Radmanovic, Vladimir	NBA	LAL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
185	W. Parker	Parker, William (Smush)	NBA	LAL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
185	S. Parker	Parker, William (Smush)	NBA	LAL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
185	Parker	Parker, William (Smush)	NBA	LAL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
186	K. Bryant	Bryant, Kobe	NBA	LAL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
186	Bryant	Bryant, Kobe	NBA	LAL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
187	Odom	Odom, Lamar	NBA	LAL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
188	Mihm	Mihm, Chris	NBA	LAL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
189	K. Brown	Brown, Kwame	NBA	LAL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
189	Brown	Brown, Kwame	NBA	LAL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
190	George	George, Devean	NBA	DAL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
191	Cook	Cook, Brian	NBA	LAL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
192	McKie	McKie, Aaron	NBA	LAL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
193	Vujacic	Vujacic, Sasha	NBA	LAL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
194	Bynum	Bynum, Andrew	NBA	LAL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
194	A. Bynum	Bynum, Andrew	NBA	LAL	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
196	J. Williams	Williams, Jason	NBA	MIA	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
196	Williams	Williams, Jason	NBA	MIA	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
198	Battier	Battier, Shane	NBA	HOU	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
200	Walker	Walker, Antoine	NBA	MIA	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
200	A. Walker	Walker, Antoine	NBA	MIA	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
201	Haslem	Haslem, Udonis	NBA	MIA	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
202	Jones	Jones, Eddie	NBA	MIA	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
203	O'Neal	O'Neal, Shaquille	NBA	MIA	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
203	S. O'Neal	O'Neal, Shaquille	NBA	MIA	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
204	Wade	Wade, Dwayne	NBA	MIA	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
206	Mourning	Mourning, Alonzo	NBA	MIA	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
207	Payton	Payton, Gary	NBA	MIA	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
208	Tsakalidis	Tsakalidis, Jake	NBA	HOU	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
211	Kapono	Kapono, Jason	NBA	MIA	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
214	Wright	Wright, Dorell	NBA	MIA	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
214	D. Wright	Wright, Dorell	NBA	MIA	2007 playoffs	SeasonStart	2007-04-20	2007-07-01
