PlayerID	PlayerName	PlayerTrueName	League	TeamName3	Year	Comment	StartDate	EndDate
1	Howard	Howard, Josh	NBA	DAL	2008-2009	SeasonStart	2008-10-28	2009-07-01
2	Thomas	Thomas, Kurt	NBA	SAS	2008-2009	SeasonStart	2008-10-28	2009-07-01
3	Dampier	Dampier, Erick	NBA	DAL	2008-2009	SeasonStart	2008-10-28	2009-07-01
4	Marion	Marion, Shawn	NBA	TOR	2008-2009	20090218CLETOR	2009-02-13	2009-07-01
4	Marion	Marion, Shawn	NBA	MIA	2008-2009	SeasonStart	2008-10-28	2009-02-13
5	Nowitzki	Nowitzki, Dirk	NBA	DAL	2008-2009	SeasonStart	2008-10-28	2009-07-01
6	Terry	Terry, Jason	NBA	DAL	2008-2009	SeasonStart	2008-10-28	2009-07-01
7	Bell	Bell, Raja	NBA	PHX	2008-2009	SeasonStart	2008-10-28	2008-12-12
7	R. Bell	Bell, Raja	NBA	PHX	2008-2009	SeasonStart	2008-10-28	2008-12-12
7	Bell	Bell, Raja	NBA	CHA	2008-2009	Trade	2008-12-13	2009-07-01
8	Nash	Nash, Steve	NBA	PHX	2008-2009	SeasonStart	2008-10-28	2009-07-01
10	Jones	Jones, James	NBA	MIA	2008-2009	SeasonStart	2008-10-28	2009-07-01
12	Diaw	Diaw, Boris	NBA	CHA	2008-2009	Trade	2008-12-13	2009-07-01
12	Diaw	Diaw, Boris	NBA	PHX	2008-2009	SeasonStart	2008-10-28	2008-12-12
14	M. Daniels	Daniels, Marquis	NBA	IND	2008-2009	SeasonStart	2008-10-28	2009-07-01
14	Daniels	Daniels, Marquis	NBA	IND	2008-2009	SeasonStart	2008-10-28	2009-07-01
15	Harris	Harris, Devin	NBA	NJN	2008-2009	SeasonStart	2008-10-28	2009-07-01
16	Barbosa	Barbosa, Leandro	NBA	PHX	2008-2009	SeasonStart	2008-10-28	2009-07-01
17	Diop	Diop, DeSagana	NBA	CHA	2008-2009	Trade	2009-01-16	2009-07-01
17	Diop	Diop, DeSagana	NBA	DAL	2008-2009	SeasonStart	2008-10-28	2009-01-16
20	House	House, Eddie	NBA	BOS	2008-2009	SeasonStart	2008-10-28	2009-07-01
21	Martin	Martin, Kenyon	NBA	DEN	2008-2009	SeasonStart	2008-10-28	2009-07-01
21	K. Martin	Martin, Kenyon	NBA	DEN	2008-2009	SeasonStart	2008-10-28	2009-07-01
22	Nesterovic	Nesterovic, Rasho	NBA	IND	2008-2009	SeasonStart	2008-10-28	2009-07-01
23	Camby	Camby, Marcus	NBA	LAC	2008-2009	SeasonStart	2008-10-28	2009-07-01
24	Ginobili	Ginobili, Manu	NBA	SAS	2008-2009	SeasonStart	2008-10-28	2009-07-01
25	Anthony	Anthony, Carmelo	NBA	DEN	2008-2009	SeasonStart	2008-10-28	2009-07-01
26	Duncan	Duncan, Tim	NBA	SAS	2008-2009	SeasonStart	2008-10-28	2009-07-01
28	B. Bowen	Bowen, Bruce	NBA	SAS	2008-2009	SeasonStart	2008-10-28	2009-07-01
28	Bowen	Bowen, Bruce	NBA	SAS	2008-2009	SeasonStart	2008-10-28	2009-07-01
29	Finley	Finley, Michael	NBA	SAS	2008-2009	SeasonStart	2008-10-28	2009-07-01
30	W. Parker	Parker, Tony	NBA	SAS	2008-2009	SeasonStart	2008-10-28	2009-07-01
30	T. Parker	Parker, Tony	NBA	SAS	2008-2009	SeasonStart	2008-10-28	2009-07-01
30	Parker	Parker, Tony	NBA	SAS	2008-2009	SeasonStart	2008-10-28	2009-07-01
31	Miller	Miller, Andre	NBA	PHI	2008-2009	SeasonStart	2008-10-28	2009-07-01
31	A. Miller	Miller, Andre	NBA	PHI	2008-2009	SeasonStart	2008-10-28	2009-07-01
33	Barry	Barry, Brent	NBA	HOU	2008-2009	SeasonStart	2008-10-28	2009-07-01
34	Nene	Hilario, Nene	NBA	DEN	2008-2009	SeasonStart	2008-10-28	2009-07-01
34	Hilario	Hilario, Nene	NBA	DEN	2008-2009	SeasonStart	2008-10-28	2009-07-01
36	Najera	Najera, Eduardo	NBA	NJN	2008-2009	SeasonStart	2008-10-28	2009-07-01
37	Oberto	Oberto, Fabricio	NBA	SAS	2008-2009	SeasonStart	2008-10-28	2009-07-01
39	Buckner	Buckner, Greg	NBA	MEM	2008-2009	SeasonStart	2008-10-28	2009-07-01
40	Mohammed	Mohammed, Nazr	NBA	CHA	2008-2009	SeasonStart	2008-10-28	2009-07-01
42	Elson	Elson, Francisco	NBA	MIL	2008-2009	SeasonStart	2008-10-28	2009-07-01
45	Redd	Redd, Michael	NBA	MIL	2008-2009	SeasonStart	2008-10-28	2009-07-01
46	Iverson	Iverson, Allen	NBA	DET	2008-2009	Trade	2008-11-07	2009-07-01
46	Iverson	Iverson, Allen	NBA	DEN	2008-2009	SeasonStart	2008-10-28	2008-11-03
47	Ford	Ford, T.J.	NBA	IND	2008-2009	SeasonStart	2008-10-28	2009-07-01
48	Simmons	Simmons, Bobby	NBA	NJN	2008-2009	SeasonStart	2008-10-28	2009-07-01
49	Bogut	Bogut, Andrew	NBA	MIL	2008-2009	SeasonStart	2008-10-28	2009-07-01
50	Hunter	Hunter, Steven	NBA	DEN	2008-2009	SeasonStart	2008-10-28	2009-07-01
50	S. Hunter	Hunter, Steven	NBA	DEN	2008-2009	SeasonStart	2008-10-28	2009-07-01
51	Magloire	Magloire, Jamaal	NBA	MIA	2008-2009	SeasonStart	2008-10-28	2009-07-01
52	Iguodala	Iguodala, Andre	NBA	PHI	2008-2009	SeasonStart	2008-10-28	2009-07-01
54	Korver	Korver, Kyle	NBA	UTA	2008-2009	SeasonStart	2008-10-28	2009-07-01
55	M. Williams	Williams, Mo	NBA	CLE	2008-2009	SeasonStart	2008-10-28	2009-07-01
56	Gadzuric	Gadzuric, Dan	NBA	MIL	2008-2009	SeasonStart	2008-10-28	2009-07-01
59	Salmons	Salmons, John	NBA	SAC	2008-2009	SeasonStart	2008-10-28	2009-02-19
59	Salmons	Salmons, John	NBA	CHI	2008-2009	20090222CHIIND	2009-02-19	2009-07-01
60	C. Bell	Bell, Charlie	NBA	MIL	2008-2009	SeasonStart	2008-10-28	2009-07-01
60	Bell	Bell, Charlie	NBA	MIL	2008-2009	SeasonStart	2008-10-28	2009-07-01
61	Ollie	Ollie, Kevin	NBA	MIN	2008-2009	SeasonStart	2008-10-28	2009-07-01
63	E. Smith	Smith, J.R.	NBA	DEN	2008-2009	SeasonStart	2008-10-28	2009-07-01
63	Smith	Smith, J.R.	NBA	DEN	2008-2009	SeasonStart	2008-10-28	2009-07-01
65	Miller	Miller, Brad	NBA	CHI	2008-2009	20090222CHIIND	2009-02-19	2009-07-01
65	Miller	Miller, Brad	NBA	SAC	2008-2009	SeasonStart	2008-10-28	2009-02-19
65	B. Miller	Miller, Brad	NBA	SAC	2008-2009	SeasonStart	2008-10-28	2009-02-19
67	Stojakovic	Stojakovic, Peja	NBA	NOH	2008-2009	SeasonStart	2008-10-28	2009-07-01
68	Bibby	Bibby, Mike	NBA	ATL	2008-2009	SeasonStart	2008-10-28	2009-07-01
69	D. West	West, David	NBA	NOH	2008-2009	SeasonStart	2008-10-28	2009-07-01
69	West	West, David	NBA	NOH	2008-2009	SeasonStart	2008-10-28	2009-07-01
70	Paul	Paul, Chris	NBA	NOH	2008-2009	SeasonStart	2008-10-28	2009-07-01
72	Claxton	Claxton, Speedy	NBA	ATL	2008-2009	SeasonStart	2008-10-28	2009-07-01
73	Andersen	Andersen, Chris	NBA	DEN	2008-2009	SeasonStart	2008-10-28	2009-07-01
74	Thomas	Thomas, Kenny	NBA	SAC	2008-2009	SeasonStart	2008-10-28	2009-07-01
74	K. Thomas	Thomas, Kenny	NBA	SAC	2008-2009	SeasonStart	2008-10-28	2009-07-01
75	Hart	Hart, Jason	NBA	LAC	2008-2009	SeasonStart	2008-10-28	2009-02-28
75	Hart	Hart, Jason	NBA	DEN	2008-2009	20090305PORDEN	2009-03-03	2009-07-01
76	R. Butler	Butler, Rasual	NBA	NOH	2008-2009	SeasonStart	2008-10-28	2009-07-01
76	Butler	Butler, Rasual	NBA	NOH	2008-2009	SeasonStart	2008-10-28	2009-07-01
77	Martin	Martin, Kevin	NBA	SAC	2008-2009	SeasonStart	2008-10-28	2009-07-01
77	K. Martin	Martin, Kevin	NBA	SAC	2008-2009	SeasonStart	2008-10-28	2009-07-01
78	Skinner	Skinner, Brian	NBA	LAC	2008-2009	SeasonStart	2008-10-28	2009-07-01
79	Mason	Mason, Desmond	NBA	OKC	2008-2009	SeasonStart	2008-10-28	2009-07-01
80	Garcia	Garcia, Francisco	NBA	SAC	2008-2009	SeasonStart	2008-10-28	2009-07-01
83	Bass	Bass, Brandon	NBA	DAL	2008-2009	SeasonStart	2008-10-28	2009-07-01
85	Price	Price, Ronnie	NBA	UTA	2008-2009	SeasonStart	2008-10-28	2009-07-01
86	Johnson	Johnson, Joe	NBA	ATL	2008-2009	SeasonStart	2008-10-28	2009-07-01
87	B. Davis	Davis, Baron	NBA	LAC	2008-2009	SeasonStart	2008-10-28	2009-07-01
88	Pachulia	Pachulia, Zaza	NBA	ATL	2008-2009	SeasonStart	2008-10-28	2009-07-01
89	Murphy	Murphy, Troy	NBA	IND	2008-2009	SeasonStart	2008-10-28	2009-07-01
90	J. Richardson	Richardson, Jason	NBA	CHA	2008-2009	SeasonStart	2008-10-28	2008-12-11
90	Richardson	Richardson, Jason	NBA	PHX	2008-2009	Trade	2008-12-12	2009-07-01
90	Richardson	Richardson, Jason	NBA	CHA	2008-2009	SeasonStart	2008-10-28	2008-12-11
92	Dunleavy	Dunleavy, Mike	NBA	IND	2008-2009	SeasonStart	2008-10-28	2009-07-01
93	Foyle	Foyle, Adonal	NBA	ORL	2008-2009	20090403CLEORL	2009-03-23	2009-07-01
93	Foyle	Foyle, Adonal	NBA	MEM	2008-2009	20090224MEMCLE	2009-02-19	2009-03-01
93	Foyle	Foyle, Adonal	NBA	ORL	2008-2009	SeasonStart	2008-10-28	2009-02-19
94	Smith	Smith, Josh	NBA	ATL	2008-2009	SeasonStart	2008-10-28	2009-07-01
94	J. Smith	Smith, Josh	NBA	ATL	2008-2009	SeasonStart	2008-10-28	2009-07-01
95	Harrington	Harrington, Al	NBA	GSW	2008-2009	SeasonStart	2008-10-28	2008-11-25
95	Harrington	Harrington, Al	NBA	NYK	2008-2009	Trade	2008-11-25	2009-07-01
96	Lue	Lue, Tyronn	NBA	MIL	2008-2009	SeasonStart	2008-10-28	2009-02-05
96	Lue	Lue, Tyronn	NBA	ORL	2008-2009	Trade	2009-02-05	2009-07-01
97	Williams	Williams, Marvin	NBA	ATL	2008-2009	SeasonStart	2008-10-28	2009-07-01
98	Pietrus	Pietrus, Mickael	NBA	ORL	2008-2009	SeasonStart	2008-10-28	2009-07-01
101	Biedrins	Biedrins, Andris	NBA	GSW	2008-2009	SeasonStart	2008-10-28	2009-07-01
103	Fisher	Fisher, Derek	NBA	LAL	2008-2009	SeasonStart	2008-10-28	2009-07-01
109	Ivey	Ivey, Royal	NBA	PHI	2008-2009	SeasonStart	2008-10-28	2009-07-01
110	Hinrich	Hinrich, Kirk	NBA	CHI	2008-2009	SeasonStart	2008-10-28	2009-07-01
111	Wallace	Wallace, Gerald	NBA	CHA	2008-2009	SeasonStart	2008-10-28	2009-07-01
111	G. Wallace	Wallace, Gerald	NBA	CHA	2008-2009	SeasonStart	2008-10-28	2009-07-01
112	Nocioni	Nocioni, Andres	NBA	CHI	2008-2009	SeasonStart	2008-10-28	2009-02-19
112	Nocioni	Nocioni, Andres	NBA	SAC	2008-2009	20090221SACDAL	2009-02-19	2009-07-01
113	Duhon	Duhon, Chris	NBA	NYK	2008-2009	SeasonStart	2008-10-28	2009-07-01
114	Knight	Knight, Brevin	NBA	UTA	2008-2009	SeasonStart	2008-10-28	2009-07-01
116	Rush	Rush, Kareem	NBA	PHI	2008-2009	SeasonStart	2008-10-28	2009-07-01
117	Okafor	Okafor, Emeka	NBA	CHA	2008-2009	SeasonStart	2008-10-28	2009-07-01
118	Chandler	Chandler, Tyson	NBA	NOH	2008-2009	SeasonStart	2008-10-28	2009-07-01
119	Gordon	Gordon, Ben	NBA	CHI	2008-2009	SeasonStart	2008-10-28	2009-07-01
121	Songaila	Songaila, Darius	NBA	WAS	2008-2009	SeasonStart	2008-10-28	2009-07-01
122	Deng	Deng, Luol	NBA	CHI	2008-2009	SeasonStart	2008-10-28	2009-07-01
123	Ely	Ely, Melvin	NBA	NOH	2008-2009	SeasonStart	2008-10-28	2009-07-01
125	Ti. Thomas	Thomas, Tim	NBA	CHI	2008-2009	Diff from Tyrus	2009-02-22	2009-07-01
125	T. Thomas	Thomas, Tim	NBA	LAC	2008-2009	SeasonStart	2008-10-28	2008-11-25
125	Thomas	Thomas, Tim	NBA	LAC	2008-2009	SeasonStart	2008-10-28	2008-11-25
125	Thomas	Thomas, Tim	NBA	NYK	2008-2009	Trade	2008-11-25	2009-07-01
126	Felton	Felton, Raymond	NBA	CHA	2008-2009	SeasonStart	2008-10-28	2009-07-01
127	May	May, Sean	NBA	CHA	2008-2009	SeasonStart	2008-10-28	2009-07-01
128	Carroll	Carroll, Matt	NBA	CHA	2008-2009	SeasonStart	2008-10-28	2009-01-16
128	Carroll	Carroll, Matt	NBA	DAL	2008-2009	Trade	2009-01-16	2009-07-01
130	Allen	Allen, Malik	NBA	MIL	2008-2009	SeasonStart	2008-10-28	2009-07-01
132	Okur	Okur, Mehmet	NBA	UTA	2008-2009	SeasonStart	2008-10-28	2009-07-01
136	Kirilenko	Kirilenko, Andrei	NBA	UTA	2008-2009	SeasonStart	2008-10-28	2009-07-01
137	J. Collins	Collins, Jarron	NBA	UTA	2008-2009	SeasonStart	2008-10-28	2009-07-01
137	Collins	Collins, Jarron	NBA	UTA	2008-2009	SeasonStart	2008-10-28	2009-07-01
