PlayerID	PlayerTrueName	PlayerTeams	SimpleMin	SimplePossFor	SimplePossOpp	SimplePointsFor	SimplePointsOpp	SimpleOffRtg	SimpleDefRtg	SimpleOverallRtg	SimpleORebFor	SimpleORebOpp	SimpleDRebFor	SimpleDRebOpp	SimpleORebRate	SimpleDRebRate	WeightedMinOffCourt	WeightedPossForOffCourt	WeightedPossOppOffCourt	WeightedPointsForOffCourt	WeightedPointsOppOffCourt	WeightedOffRtgOffCourt	WeightedDefRtgOffCourt	WeightedOverallRtgOffCourt	WeightedORebForOffCourt	WeightedORebOppOffCourt	WeightedDRebForOffCourt	WeightedDRebOppOffCourt	WeightedORebRateOffCourt	WeightedDRebRateOffCourt	WeightedOverallRtgOnCourt	WeightedORebRateOnCourt	WeightedDRebRateOnCourt	WeightedOverallRtgOnCourtMinusOffCourt	WeightedORebRateOnCourtMinusOffCourt	WeightedDRebRateOnCourtMinusOffCourt	AdjustedPM	AdjustedPMStdErr
1	Howard, Josh	DAL	171.1833	314	315	314	353	100	112.063	-12.0635	55	45	128	125	0.305556	0.739884	68.8167	126	124	156	161	123.81	129.839	-6.0292	27	16	32	39	0.4091	0.6667	-12.0635	0.305556	0.739884	-6.0343	-0.1035	0.0732	4.00043	4.25597
2	Thomas, Kurt	SAS	268.2333	487	487	476	502	97.7413	103.08	-5.33881	76	64	184	189	0.286792	0.741935	557.7667	1052	1057	1123	1112	106.749	105.203	1.5456	119	138	411	415	0.2228	0.7486	-5.33881	0.286792	0.741935	-6.8844	0.064	-0.0067	2.44176	3.57203
3	Dampier, Erick	DAL	94.7000	178	180	168	216	94.382	120	-25.618	34	31	67	74	0.314815	0.683673	145.3000	262	259	302	298	115.267	115.058	0.2093	48	30	93	90	0.3478	0.7561	-25.618	0.314815	0.683673	-25.8273	-0.033	-0.0724	-10.8603	4.78981
5	Nowitzki, Dirk	DAL	210.5500	388	387	418	454	107.732	117.313	-9.5807	72	53	141	143	0.334884	0.726804	29.4500	52	52	52	60	100	115.385	-15.3846	10	8	19	21	0.3226	0.7037	-9.5807	0.334884	0.726804	5.8039	0.0123	0.0231	7.73584	4.56042
6	Terry, Jason	DAL	179.6333	330	327	353	390	106.97	119.266	-12.2964	66	48	116	127	0.341969	0.707317	60.3667	110	112	117	124	106.364	110.714	-4.3506	16	13	44	37	0.3019	0.7719	-12.2964	0.341969	0.707317	-7.9458	0.0401	-0.0646	5.15102	4.08267
7	Bell, Raja	PHX	214.8667	417	411	440	446	105.516	108.516	-3.00023	49	54	147	149	0.247475	0.731343	35.1333	69	71	62	66	89.8551	92.9577	-3.1027	11	12	29	31	0.2619	0.7073	-3.00023	0.247475	0.731343	0.1025	-0.0144	0.024	-0.449409	4.04546
8	Nash, Steve	PHX	183.0167	358	356	376	390	105.028	109.551	-4.52263	46	53	122	129	0.262857	0.697143	66.9833	128	126	126	122	98.4375	96.8254	1.6121	14	13	54	51	0.2154	0.806	-4.52263	0.262857	0.697143	-6.1347	0.0475	-0.1089	8.02838	4.78106
12	Diaw, Boris	PHX	177.4667	348	338	367	359	105.46	106.213	-0.753248	46	49	128	128	0.264368	0.723164	72.5333	138	144	135	153	97.8261	106.25	-8.4239	14	17	48	52	0.2121	0.7385	-0.753248	0.264368	0.723164	7.6707	0.0523	-0.0153	2.77022	3.8417
16	Barbosa, Leandro	PHX	142.8000	284	280	286	315	100.704	112.5	-11.7958	29	39	100	106	0.214815	0.719424	107.2000	202	202	216	197	106.931	97.5248	9.4059	31	27	76	74	0.2952	0.7379	-11.7958	0.214815	0.719424	-21.2017	-0.0804	-0.0185	-4.17555	3.87737
20	House, Eddie	BOS	164.8167	323	304	359	313	111.146	102.961	8.18498	40	43	116	104	0.277778	0.72956	1083.1833	1937	1953	2085	1995	107.641	102.15	5.4901	317	286	692	649	0.3282	0.7076	8.18498	0.277778	0.72956	2.6949	-0.0504	0.022	2.28809	5.37004
21	Martin, Kenyon	DEN	118.0500	236	237	236	269	100	113.502	-13.5021	48	42	87	83	0.366412	0.674419	73.9500	160	160	170	190	106.25	118.75	-12.5	20	11	56	59	0.2532	0.8358	-13.5021	0.366412	0.674419	-1.0021	0.1132	-0.1614	3.98088	4.23391
22	Nesterovic, Rasho	TOR	77.0500	136	138	157	155	115.441	112.319	3.12234	22	19	50	49	0.309859	0.724638	162.9500	316	315	340	365	107.595	115.873	-8.2781	44	54	102	126	0.2588	0.6538	3.12234	0.309859	0.724638	11.4004	0.0511	0.0708	2.60457	4.30949
23	Camby, Marcus	DEN	123.9667	256	256	258	307	100.781	119.922	-19.1406	50	37	89	92	0.352113	0.706349	68.0333	140	141	148	152	105.714	107.801	-2.0871	18	16	54	50	0.2647	0.7714	-19.1406	0.352113	0.706349	-17.0535	0.0874	-0.0651	0.785742	4.77507
24	Ginobili, Manu	SAS	558.8167	1066	1061	1117	1103	104.784	103.959	0.82571	140	124	406	412	0.253623	0.766038	267.1833	473	483	482	511	101.903	105.797	-3.8944	55	78	189	192	0.2227	0.7079	0.82571	0.253623	0.766038	4.7201	0.0309	0.0581	8.8768	3.43235
25	Anthony, Carmelo	DEN	146.2333	296	298	296	350	100	117.45	-17.4497	60	41	109	108	0.357143	0.726667	45.7667	100	99	110	109	110	110.101	-0.101	8	12	34	34	0.1905	0.7391	-17.4497	0.357143	0.726667	-17.3487	0.1666	-0.0124	-5.59924	4.29672
26	Duncan, Tim	SAS	665.9833	1244	1240	1315	1314	105.707	105.968	-0.260347	164	168	483	479	0.255054	0.741935	160.0167	295	304	284	300	96.2712	98.6842	-2.413	31	34	112	125	0.1987	0.7671	-0.260347	0.255054	0.741935	2.1527	0.0564	-0.0252	9.72426	4.75161
28	Bowen, Bruce	SAS	508.0667	927	941	946	975	102.05	103.613	-1.56356	120	134	374	376	0.241935	0.73622	317.9333	612	603	653	639	106.699	105.97	0.7292	75	68	221	228	0.2475	0.7647	-1.56356	0.241935	0.73622	-2.2928	-0.0056	-0.0285	-2.17328	4.12414
29	Finley, Michael	SAS	391.2000	743	733	794	793	106.864	108.186	-1.32147	89	99	279	275	0.244505	0.738095	434.8000	796	811	805	821	101.131	101.233	-0.1024	106	103	316	329	0.2437	0.7542	-1.32147	0.244505	0.738095	-1.2191	0.0008	-0.0161	0.521324	3.49298
