Team	Min	PossFor	PossOpp	PointsFor	PointsOpp	OffRtg	DefRtg	OverallRtg	ORebFor	ORebOpp	DRebFor	DRebOpp	ORebRate	DRebRate
ATL	336.0000	608	606	610	694	100.329	114.521	-14.1925	104	110	203	203	0.338762	0.648562
BOS	1248.0000	2260	2257	2444	2308	108.142	102.26	5.88196	357	329	808	753	0.321622	0.710642
CLE	624.0000	1126	1129	1169	1141	103.819	101.063	2.75594	192	157	412	408	0.32	0.724077
DAL	240.0000	440	439	470	514	106.818	117.084	-10.2661	82	61	160	164	0.333333	0.723982
DEN	192.0000	396	397	406	459	102.525	115.617	-13.0919	68	53	143	142	0.32381	0.729592
DET	816.0000	1455	1459	1554	1515	106.804	103.838	2.96588	221	244	475	511	0.301913	0.66064
HOU	288.0000	515	512	528	543	102.524	106.055	-3.53042	93	86	183	198	0.319588	0.680297
LAL	1013.0000	1972	1974	2151	2105	109.077	106.636	2.44081	236	308	704	704	0.251064	0.695652
NOH	576.0000	1044	1045	1159	1115	111.015	106.699	4.31676	149	166	402	401	0.270909	0.707747
ORL	480.0000	883	881	971	955	109.966	108.4	1.56648	131	133	343	300	0.303944	0.720588
PHI	288.0000	522	521	515	557	98.659	106.91	-8.25078	106	88	160	173	0.379928	0.645161
PHX	250.0000	486	482	502	512	103.292	106.224	-2.93189	60	66	176	180	0.25	0.727273
SAS	826.0000	1539	1544	1599	1614	103.899	104.534	-0.635043	195	202	595	604	0.244055	0.74655
TOR	240.0000	452	453	497	520	109.956	114.79	-4.83453	66	73	152	175	0.273859	0.675556
UTA	581.0000	1088	1089	1187	1190	109.099	109.275	-0.175299	196	159	382	370	0.34629	0.7061
WAS	288.0000	532	530	553	573	103.947	108.113	-4.16584	75	96	189	201	0.271739	0.663158
