PlayerID	PlayerTrueName	PlayerTeams	SimpleMin	SimplePossFor	SimplePossOpp	SimplePointsFor	SimplePointsOpp	SimpleOffRtg	SimpleDefRtg	SimpleOverallRtg	SimpleORebFor	SimpleORebOpp	SimpleDRebFor	SimpleDRebOpp	SimpleORebRate	SimpleDRebRate	WeightedMinOffCourt	WeightedPossForOffCourt	WeightedPossOppOffCourt	WeightedPointsForOffCourt	WeightedPointsOppOffCourt	WeightedOffRtgOffCourt	WeightedDefRtgOffCourt	WeightedOverallRtgOffCourt	WeightedORebForOffCourt	WeightedORebOppOffCourt	WeightedDRebForOffCourt	WeightedDRebOppOffCourt	WeightedORebRateOffCourt	WeightedDRebRateOffCourt	WeightedOverallRtgOnCourt	WeightedORebRateOnCourt	WeightedDRebRateOnCourt	WeightedOverallRtgOnCourtMinusOffCourt	WeightedORebRateOnCourtMinusOffCourt	WeightedDRebRateOnCourtMinusOffCourt	AdjustedPM	AdjustedPMStdErr
1	Howard, Josh	DAL, WAS	917.8500	1777	1778	1959	1958	110.242	110.124	0.118246	266	298	635	602	0.306452	0.6806	3220.7667	6203	6199	6725	6537	108.537	105.36	3.17663	967	1089	2214	2221	0.302379	0.670627	0.118246	0.306452	0.6806	-2.9588	0.00403473	0.0099384	2.10011	3.07034
2	Thomas, Kurt	MIL	1034.5833	1971	1959	2045	2101	103.754	107.249	-3.49416	347	320	686	776	0.308994	0.681909	2865.4167	5489	5507	5772	5605	105.156	101.78	3.3762	1004	833	1962	2077	0.3259	0.702	-3.49416	0.308994	0.681909	-6.8704	-0.0169	-0.0201	-2.32685	3.38921
3	Dampier, Erick	DAL	1280.2333	2461	2460	2706	2551	109.955	103.699	6.25612	377	411	959	868	0.302811	0.7	2695.7667	5217	5216	5658	5590	108.453	107.17	1.2829	780	916	1790	1860	0.2955	0.6615	6.25612	0.302811	0.7	4.9732	0.0073	0.0385	-0.737437	3.30212
4	Marion, Shawn	DAL	2385.0167	4594	4605	5069	4833	110.34	104.951	5.38843	703	760	1674	1598	0.305519	0.687757	1590.9833	3084	3071	3295	3308	106.842	107.717	-0.8756	454	567	1075	1130	0.2866	0.6547	5.38843	0.305519	0.687757	6.264	0.0189	0.0331	1.22963	2.5164
5	Nowitzki, Dirk	DAL	3038.8500	5875	5831	6472	6129	110.162	105.111	5.05109	853	1017	2139	2067	0.292123	0.677757	937.1500	1803	1845	1892	2012	104.936	109.051	-4.1153	304	310	610	661	0.315	0.663	5.05109	0.292123	0.677757	9.1664	-0.0229	0.0148	5.17536	3.12832
6	Terry, Jason	DAL	2539.5333	4904	4875	5357	5176	109.237	106.174	3.063	765	864	1731	1762	0.302731	0.667052	1436.4667	2774	2801	3007	2965	108.399	105.855	2.5444	392	463	1018	966	0.2887	0.6874	3.063	0.302731	0.667052	0.5186	0.014	-0.0203	0.963111	2.60078
7	Bell, Raja	CHA, GSW	180.6000	329	330	349	321	106.079	97.2727	8.8063	75	50	122	120	0.384615	0.709302	3790.0500	7223	7228	7600	7579	105.151	104.721	0.429424	1277	1260	2539	2485	0.340339	0.668716	8.8063	0.384615	0.709302	8.89669	0.043499	0.0452123	2.10921	4.38954
8	Nash, Steve	PHX	2660.4000	5361	5346	6300	5923	117.515	110.793	6.72227	837	1059	1949	1730	0.326062	0.647939	1285.6000	2471	2506	2739	2714	110.846	108.3	2.5457	494	512	854	821	0.3757	0.6252	6.72227	0.326062	0.647939	4.1766	-0.0496	0.0227	13.6723	4.29611
10	Jones, James	MIA	503.4833	930	926	957	971	102.903	104.86	-1.95639	148	191	346	359	0.291913	0.64432	3472.5167	6463	6490	6957	6756	107.644	104.099	3.5449	1131	1135	2372	2305	0.3292	0.6764	-1.95639	0.291913	0.64432	-5.5013	-0.0373	-0.0321	0.566487	4.03048
12	Diaw, Boris	CHA	2874.7333	5397	5375	5735	5596	106.263	104.112	2.15111	930	929	1942	1852	0.334292	0.676419	1053.2667	1961	1990	1980	2014	100.969	101.206	-0.2371	436	331	702	663	0.3967	0.6796	2.15111	0.334292	0.676419	2.3882	-0.0624	-0.0032	0.607423	3.14316
14	Daniels, Marquis	BOS	936.8333	1741	1771	1888	1866	108.443	105.364	3.07922	267	342	598	599	0.308314	0.63617	2971.1667	5697	5672	6151	5872	107.969	103.526	4.443	871	966	2016	1940	0.3099	0.6761	3.07922	0.308314	0.63617	-1.3638	-0.0016	-0.0399	1.38658	3.30766
15	Harris, Devin	NJN	2185.6667	4227	4228	4320	4790	102.2	113.292	-11.0922	751	737	1365	1581	0.322041	0.649382	1722.3333	3247	3243	3178	3436	97.875	105.951	-8.0763	505	589	1130	1222	0.2924	0.6574	-11.0922	0.322041	0.649382	-3.0159	0.0296	-0.008	-2.6536	3.14873
16	Barbosa, Leandro	PHX	785.5000	1586	1595	1812	1719	114.25	107.774	6.47539	268	328	542	519	0.340534	0.622989	3160.5000	6246	6257	7227	6918	115.706	110.564	5.1419	1063	1243	2261	2032	0.3435	0.6453	6.47539	0.340534	0.622989	1.3335	-0.003	-0.0223	-1.23546	3.32305
17	Diop, DeSagana	CHA	261.8333	468	484	532	523	113.675	108.058	5.61736	93	92	169	148	0.385892	0.64751	3666.1667	6890	6881	7183	7087	104.253	102.994	1.2588	1273	1168	2475	2367	0.3497	0.6794	5.61736	0.385892	0.64751	4.3586	0.0362	-0.0319	NULL	NULL
20	House, Eddie	BOS, NYK	1201.8167	2296	2276	2413	2383	105.096	104.701	0.394589	366	420	803	843	0.30273	0.656582	3240.3667	6243	6267	6769	6697	108.435	106.582	1.85315	930	1072	2166	2178	0.299502	0.6689	0.394589	0.30273	0.656582	-1.27085	0.00396682	-0.0122488	-0.940532	3.10365
21	Martin, Kenyon	DEN	1955.8833	3903	3895	4310	4199	110.428	107.805	2.623	680	683	1345	1355	0.334152	0.663215	1952.1167	3800	3803	4300	4105	113.158	107.941	5.2168	677	711	1322	1300	0.3424	0.6503	2.623	0.334152	0.663215	-2.5938	-0.0082	0.0129	0.754509	2.68993
22	Nesterovic, Rasho	TOR	413.3500	820	829	901	1005	109.878	121.23	-11.3523	109	124	252	260	0.295393	0.670213	3542.6500	6867	6842	7633	7675	111.155	112.175	-1.02	1110	1214	2427	2376	0.3184	0.6666	-11.3523	0.295393	0.670213	-10.3323	-0.023	0.0036	-8.74564	4.05601
23	Camby, Marcus	LAC, POR	2314.5500	4435	4432	4792	4690	108.05	105.821	2.22831	820	745	1573	1539	0.347605	0.678602	2611.6167	4914	4910	5162	5440	104.608	111.078	-6.4696	867	861	1718	1726	0.334059	0.665148	2.22831	0.347605	0.678602	8.87809	0.0137652	0.0131521	4.56692	2.84054
24	Ginobili, Manu	SAS	2149.9167	4168	4136	4732	4340	113.532	104.932	8.59937	740	670	1487	1439	0.339605	0.689383	1806.0833	3375	3415	3580	3555	106.074	104.1	1.9745	592	563	1330	1186	0.333	0.7026	8.59937	0.339605	0.689383	6.6249	0.0066	-0.0132	4.12535	2.7499
25	Anthony, Carmelo	DEN	2602.3667	5123	5116	5798	5544	113.176	108.366	4.80996	929	921	1784	1783	0.342552	0.659519	1305.6333	2580	2582	2812	2760	108.992	106.894	2.0984	428	473	883	872	0.3292	0.6512	4.80996	0.342552	0.659519	2.7116	0.0134	0.0083	1.7419	2.88695
26	Duncan, Tim	SAS	2438.4000	4624	4593	5107	4722	110.446	102.809	7.63688	758	722	1776	1636	0.316625	0.710969	1517.6000	2919	2958	3205	3173	109.798	107.268	2.5295	574	511	1041	989	0.3672	0.6707	7.63688	0.316625	0.710969	5.1074	-0.0506	0.0403	5.49353	3.36686
29	Finley, Michael	BOS, SAS	708.9333	1355	1332	1490	1481	109.963	111.186	-1.22309	203	224	484	487	0.294203	0.683616	3575.7167	6809	6827	7434	7074	109.184	103.615	5.5696	1142	1153	2481	2341	0.327593	0.682652	-1.22309	0.294203	0.683616	-6.81274	-0.0336084	0.000732823	-4.59162	3.24994
30	Parker, Tony	SAS	1728.1000	3311	3298	3652	3434	110.299	104.124	6.17529	568	530	1248	1152	0.330233	0.701912	2227.9000	4232	4253	4660	4461	110.113	104.891	5.2228	764	703	1569	1473	0.3415	0.6906	6.17529	0.330233	0.701912	0.9525	-0.0113	0.0113	0.157043	3.1342
31	Miller, Andre	POR	2469.3500	4479	4489	5059	4743	112.949	105.658	7.29104	807	728	1618	1521	0.346649	0.689685	1453.6500	2698	2686	2904	2932	107.635	109.159	-1.5233	497	501	914	953	0.3428	0.6459	7.29104	0.346649	0.689685	8.8143	0.0038	0.0438	6.19261	2.61269
34	Hilario, Nene	DEN	2729.4667	5371	5348	6086	5785	113.312	108.171	5.14095	922	905	1879	1870	0.330229	0.674928	1178.5333	2332	2350	2524	2519	108.233	107.191	1.0418	435	489	788	785	0.3566	0.6171	5.14095	0.330229	0.674928	4.0992	-0.0264	0.0578	9.32748	3.17199
35	Boykins, Earl	WAS	1116.9500	2122	2112	2135	2369	100.613	112.169	-11.5559	407	430	702	776	0.344041	0.620141	2849.0500	5466	5450	5757	5915	105.324	108.532	-3.2083	962	953	1940	1910	0.335	0.6706	-11.5559	0.344041	0.620141	-8.3476	0.009	-0.0505	-13.4713	3.51354
36	Najera, Eduardo	DAL, NJN	684.6167	1339	1343	1403	1436	104.78	106.925	-2.14511	194	221	430	515	0.273625	0.660522	3557.5167	6834	6830	7271	7336	106.493	107.373	-0.880049	1077	1196	2420	2448	0.305247	0.669321	-2.14511	0.273625	0.660522	-1.42945	-0.0316455	-0.00873309	-5.44866	3.84208
37	Oberto, Fabricio	WAS	650.0167	1219	1221	1257	1304	103.117	106.798	-3.6804	190	237	436	437	0.30303	0.647845	3315.9833	6369	6341	6635	6980	104.176	110.077	-5.9008	1179	1146	2206	2249	0.3439	0.6581	-3.6804	0.30303	0.647845	2.2204	-0.0409	-0.0103	-0.382722	3.87717
40	Mohammed, Nazr	CHA	984.3333	1859	1863	1960	1970	105.433	105.743	-0.310396	337	264	659	642	0.344229	0.713976	2943.6667	5499	5502	5755	5640	104.655	102.508	2.1472	1029	996	1985	1873	0.3546	0.6659	-0.310396	0.344229	0.713976	-2.4576	-0.0104	0.0481	-5.76138	3.53678
42	Elson, Francisco	MIL, PHI	65.7000	127	126	135	136	106.299	107.937	-1.6373	20	22	33	50	0.285714	0.6	3842.8333	7349	7355	7705	7618	104.838	103.574	1.26475	1333	1142	2613	2793	0.323045	0.695882	-1.6373	0.285714	0.6	-2.13531	-0.0491576	-0.0975437	NULL	NULL
45	Redd, Michael	MIL	492.1000	964	964	910	1010	94.3983	104.772	-10.3734	167	148	330	434	0.27787	0.690377	3407.9000	6496	6502	6907	6696	106.327	102.984	3.3433	1184	1005	2318	2419	0.3286	0.6976	-10.3734	0.27787	0.690377	-13.7167	-0.0507	-0.0072	-7.57673	4.00337
46	Iverson, Allen	MEM, PHI	864.4667	1683	1661	1731	1773	102.852	106.743	-3.89088	297	277	604	580	0.338654	0.685585	3176.6000	6088	6084	6480	6765	106.397	111.232	-4.8346	1074	1058	2034	2100	0.337102	0.657516	-3.89088	0.338654	0.685585	1.04112	0.00169252	0.0281756	-2.34063	3.08787
47	Ford, T.J.	IND	1188.9000	2401	2403	2424	2597	100.958	108.073	-7.11531	366	436	820	909	0.287059	0.652866	2752.1000	5554	5559	5839	5913	105.131	106.368	-1.2366	814	1030	1981	2099	0.2794	0.6579	-7.11531	0.287059	0.652866	-5.8787	0.0077	-0.005	-1.60619	3.22905
48	Simmons, Bobby	NJN	394.5833	760	754	719	762	94.6053	101.061	-6.45574	131	130	268	295	0.307512	0.673367	3513.4167	6714	6717	6779	7464	100.968	111.121	-10.1529	1125	1196	2227	2508	0.3097	0.6506	-6.45574	0.307512	0.673367	3.6972	-0.0022	0.0228	1.94049	3.87765
49	Bogut, Andrew	MIL	2156.2833	4095	4106	4333	4148	105.812	101.023	4.78907	737	608	1498	1543	0.323246	0.711301	1743.7167	3365	3360	3484	3558	103.536	105.893	-2.3565	614	545	1150	1310	0.3191	0.6785	4.78907	0.323246	0.711301	7.1456	0.0041	0.0328	7.21447	3.39488
50	Hunter, Steven	MEM	157.9667	315	318	298	331	94.6032	104.088	-9.48488	80	59	122	102	0.43956	0.674033	3823.0333	7438	7437	8106	8197	108.981	110.219	-1.2383	1535	1236	2532	2450	0.3852	0.672	-9.48488	0.43956	0.674033	-8.2466	0.0544	0.002	NULL	NULL
51	Magloire, Jamaal	MIA	359.4167	653	655	672	683	102.91	104.275	-1.36516	147	120	248	232	0.387863	0.673913	3616.5833	6740	6761	7242	7044	107.448	104.186	3.2623	1132	1206	2470	2432	0.3176	0.6719	-1.36516	0.387863	0.673913	-4.6275	0.0703	0.002	NULL	NULL
52	Iguodala, Andre	PHI	3150.3167	6035	6003	6350	6610	105.22	110.112	-4.89206	1057	1022	2036	2088	0.336089	0.665795	762.6833	1468	1472	1566	1627	106.676	110.53	-3.8541	245	271	505	518	0.3211	0.6508	-4.89206	0.336089	0.665795	-1.038	0.015	0.015	1.62707	3.34939
54	Korver, Kyle	UTA	930.0833	1830	1833	2071	1874	113.169	102.237	10.9326	339	282	677	576	0.370492	0.705944	2972.9167	5803	5783	6389	6140	110.098	106.173	3.925	996	997	2036	1899	0.344	0.6713	10.9326	0.370492	0.705944	7.0076	0.0265	0.0346	4.27682	3.28411
