League	Year	GameDate	GameID	BoxScoreURL	PlayByPlayURL	HomeNameFull	HomeName3	AwayNameFull	AwayName3	HaveBoxScore	HavePlayByPlay	AnalyzedPlayByPlay
NBA	2009 playoffs	2009-04-18	20090418CHIBOS	http://www.nba.com/games/20090418/CHIBOS/boxscore.html	http://www.nba.com/games/20090418/CHIBOS/playbyplay.html	Boston Celtics	BOS	Chicago Bulls	CHI	NULL	2009-04-19 23:34:54	2009-05-27 23:33:43
NBA	2009 playoffs	2009-04-18	20090418DALSAS	http://www.nba.com/games/20090418/DALSAS/boxscore.html	http://www.nba.com/games/20090418/DALSAS/playbyplay.html	San Antonio Spurs	SAS	Dallas Maverics	DAL	NULL	2009-04-19 23:35:03	2009-05-27 23:33:46
NBA	2009 playoffs	2009-04-18	20090418DETCLE	http://www.nba.com/games/20090418/DETCLE/boxscore.html	http://www.nba.com/games/20090418/DETCLE/playbyplay.html	Cleveland Cavaliers	CLE	Detroit Pistons	DET	NULL	2009-04-19 23:35:11	2009-05-27 23:33:49
NBA	2009 playoffs	2009-04-18	20090418HOUPOR	http://www.nba.com/games/20090418/HOUPOR/boxscore.html	http://www.nba.com/games/20090418/HOUPOR/playbyplay.html	Portland Trailblazers	POR	Houston Rockets	HOU	NULL	2009-04-19 23:35:20	2009-05-27 23:33:51
NBA	2009 playoffs	2009-04-19	20090419MIAATL	http://www.nba.com/games/20090419/MIAATL/boxscore.html	http://www.nba.com/games/20090419/MIAATL/playbyplay.html	Atlanta Hawks	ATL	Miami Heat	MIA	NULL	2009-04-20 22:07:45	2009-05-27 23:33:54
NBA	2009 playoffs	2009-04-19	20090419NOHDEN	http://www.nba.com/games/20090419/NOHDEN/boxscore.html	http://www.nba.com/games/20090419/NOHDEN/playbyplay.html	Denver Nuggets	DEN	New Orleans Hornets	NOH	NULL	2009-04-20 22:07:51	2009-05-27 23:33:57
NBA	2009 playoffs	2009-04-19	20090419PHIORL	http://www.nba.com/games/20090419/PHIORL/boxscore.html	http://www.nba.com/games/20090419/PHIORL/playbyplay.html	Orlando Magic	ORL	Philadelphia 76ers	PHI	NULL	2009-04-20 22:07:57	2009-05-27 23:34:00
NBA	2009 playoffs	2009-04-19	20090419UTALAL	http://www.nba.com/games/20090419/UTALAL/boxscore.html	http://www.nba.com/games/20090419/UTALAL/playbyplay.html	Los Angeles Lakers	LAL	Utah Jazz	UTA	NULL	2009-04-20 22:08:04	2009-05-27 23:34:03
NBA	2009 playoffs	2009-04-20	20090420CHIBOS	http://www.nba.com/games/20090420/CHIBOS/boxscore.html	http://www.nba.com/games/20090420/CHIBOS/playbyplay.html	Boston Celtics	BOS	Chicago Bulls	CHI	NULL	2009-04-21 22:53:53	2009-05-27 23:34:06
NBA	2009 playoffs	2009-04-20	20090420DALSAS	http://www.nba.com/games/20090420/DALSAS/boxscore.html	http://www.nba.com/games/20090420/DALSAS/playbyplay.html	San Antonio Spurs	SAS	Dallas Maverics	DAL	NULL	2009-04-21 22:55:09	2009-05-27 23:34:09
NBA	2009 playoffs	2009-04-21	20090421DETCLE	http://www.nba.com/games/20090421/DETCLE/boxscore.html	http://www.nba.com/games/20090421/DETCLE/playbyplay.html	Cleveland Cavaliers	CLE	Detroit Pistons	DET	NULL	2009-04-22 08:42:54	2009-05-27 23:34:12
NBA	2009 playoffs	2009-04-21	20090421HOUPOR	http://www.nba.com/games/20090421/HOUPOR/boxscore.html	http://www.nba.com/games/20090421/HOUPOR/playbyplay.html	Portland Trailblazers	POR	Houston Rockets	HOU	NULL	2009-04-22 08:43:03	2009-05-27 23:34:15
