PlayerID	PlayerTrueName	PlayerTeams	SimpleMin	SimplePossFor	SimplePossOpp	SimplePointsFor	SimplePointsOpp	SimpleOffRtg	SimpleDefRtg	SimpleOverallRtg	SimpleORebFor	SimpleORebOpp	SimpleDRebFor	SimpleDRebOpp	SimpleORebRate	SimpleDRebRate	WeightedMinOffCourt	WeightedPossForOffCourt	WeightedPossOppOffCourt	WeightedPointsForOffCourt	WeightedPointsOppOffCourt	WeightedOffRtgOffCourt	WeightedDefRtgOffCourt	WeightedOverallRtgOffCourt	WeightedORebForOffCourt	WeightedORebOppOffCourt	WeightedDRebForOffCourt	WeightedDRebOppOffCourt	WeightedORebRateOffCourt	WeightedDRebRateOffCourt	WeightedOverallRtgOnCourt	WeightedORebRateOnCourt	WeightedDRebRateOnCourt	WeightedOverallRtgOnCourtMinusOffCourt	WeightedORebRateOnCourtMinusOffCourt	WeightedDRebRateOnCourtMinusOffCourt	AdjustedPM	AdjustedPMStdErr
1	Howard, Josh	DAL	294.7167	566	567	638	612	112.721	107.937	4.78434	89	78	214	187	0.322464	0.732877	185.2833	337	338	378	413	112.166	122.189	-10.0232	52	58	117	118	0.3059	0.6686	4.78434	0.322464	0.732877	14.8075	0.0166	0.0643	3.13915	2.92349
2	Thomas, Kurt	SAS	79.7833	145	144	128	166	88.2759	115.278	-27.0019	19	19	53	63	0.231707	0.736111	160.2167	288	288	324	316	112.5	109.722	2.7778	44	40	100	106	0.2933	0.7143	-27.0019	0.231707	0.736111	-29.7797	-0.0616	0.0218	-1.33875	3.01733
3	Dampier, Erick	DAL	254.7833	467	470	550	534	117.773	113.617	4.156	78	73	169	143	0.352941	0.698347	225.2167	436	435	466	491	106.881	112.874	-5.9928	63	63	162	162	0.28	0.72	4.156	0.352941	0.698347	10.1488	0.0729	-0.0217	-6.82699	3.37944
5	Nowitzki, Dirk	DAL	393.8667	752	744	855	833	113.697	111.962	1.73444	112	109	276	249	0.310249	0.716883	86.1333	151	161	161	192	106.622	119.255	-12.6321	29	27	55	56	0.3412	0.6707	1.73444	0.310249	0.716883	14.3665	-0.031	0.0462	4.63887	3.40898
6	Terry, Jason	DAL	325.4833	616	615	676	727	109.74	118.211	-8.47112	101	97	217	213	0.321656	0.691083	154.5167	287	290	340	298	118.467	102.759	15.7083	40	39	114	92	0.303	0.7451	-8.47112	0.321656	0.691083	-24.1794	0.0187	-0.054	-4.2219	2.87732
10	Jones, James	MIA	235.1667	405	401	438	432	108.148	107.731	0.417475	57	71	153	136	0.295337	0.683036	100.8333	179	185	179	179	100	96.7568	3.2432	30	39	70	66	0.3125	0.6422	0.417475	0.295337	0.683036	-2.8257	-0.0172	0.0408	-0.486443	3.24082
20	House, Eddie	BOS	232.2667	465	438	480	487	103.226	111.187	-7.96141	54	70	145	171	0.24	0.674419	474.7333	880	907	950	943	107.954	103.969	3.9854	167	146	344	318	0.3443	0.702	-7.96141	0.24	0.674419	-11.9468	-0.1043	-0.0276	-1.73658	3.13471
21	Martin, Kenyon	DEN	502.2000	968	968	1123	1056	116.012	109.091	6.92149	151	161	334	335	0.3107	0.674747	217.8000	422	419	510	430	120.853	102.625	18.2278	80	65	151	142	0.3604	0.6991	6.92149	0.3107	0.674747	-11.3063	-0.0497	-0.0244	1.95042	2.83701
24	Ginobili, Manu	SAS	0.0000	0	0	0	0	NULL	NULL	NULL	0	0	0	0	NULL	NULL	240.0000	433	432	452	482	104.388	111.574	-7.18608	63	59	153	169	0.271552	0.721698	NULL	NULL	NULL	NULL	NULL	NULL	-0.565004	2.92938
25	Anthony, Carmelo	DEN	571.5333	1097	1101	1322	1204	120.51	109.355	11.1554	172	180	381	371	0.316759	0.679144	148.4667	293	286	311	282	106.143	98.6014	7.5419	59	46	104	106	0.3576	0.6933	11.1554	0.316759	0.679144	3.6135	-0.0408	-0.0142	4.71862	2.55903
26	Duncan, Tim	SAS	163.5667	296	295	321	345	108.446	116.949	-8.50321	47	50	96	113	0.29375	0.657534	76.4333	137	137	131	137	95.6204	100	-4.3796	16	9	57	56	0.2222	0.8636	-8.50321	0.29375	0.657534	-4.1236	0.0716	-0.2061	2.84759	3.47057
28	Bowen, Bruce	SAS	129.8167	234	238	255	250	108.974	105.042	3.93234	35	28	87	82	0.299145	0.756522	110.1833	199	194	197	232	98.995	119.588	-20.5927	28	31	66	87	0.2435	0.6804	3.93234	0.299145	0.756522	24.525	0.0556	0.0761	-3.58562	2.73954
29	Finley, Michael	SAS	143.3333	262	260	265	298	101.145	114.615	-13.4703	43	39	88	108	0.284768	0.692913	96.6667	171	172	187	184	109.357	106.977	2.38	20	20	65	61	0.2469	0.7647	-13.4703	0.284768	0.692913	-15.8503	0.0379	-0.0718	-6.88098	2.91904
30	Parker, Tony	SAS	181.3000	336	331	354	371	105.357	112.085	-6.72745	44	43	116	125	0.260355	0.72956	58.7000	97	101	98	111	101.031	109.901	-8.8701	19	16	37	44	0.3016	0.6981	-6.72745	0.260355	0.72956	2.1427	-0.0412	0.0315	4.34198	3.59841
31	Miller, Andre	PHI	257.9333	474	474	472	529	99.5781	111.603	-12.0253	66	82	169	170	0.279661	0.673307	30.0667	58	57	59	48	101.724	84.2105	17.5136	8	4	20	25	0.2424	0.8333	-12.0253	0.279661	0.673307	-29.5389	0.0373	-0.16	-7.87284	3.83005
33	Barry, Brent	HOU	35.0000	69	71	66	76	95.6522	107.042	-11.3901	11	11	24	29	0.275	0.685714	589.0000	1074	1069	1123	1132	104.562	105.893	-1.331	173	180	405	383	0.3112	0.6923	-11.3901	0.275	0.685714	-10.0591	-0.0362	-0.0066	-6.86242	3.39208
34	Hilario, Nene	DEN	499.1000	965	961	1122	1016	116.269	105.723	10.5462	151	151	341	329	0.314583	0.693089	220.9000	425	426	511	470	120.235	110.329	9.9067	80	75	144	148	0.3509	0.6575	10.5462	0.314583	0.693089	0.6395	-0.0363	0.0356	4.7072	2.92488
37	Oberto, Fabricio	SAS	21.5833	35	35	37	30	105.714	85.7143	20	4	6	14	15	0.210526	0.7	218.4167	398	397	415	452	104.271	113.854	-9.5825	59	53	139	154	0.277	0.724	20	0.210526	0.7	29.5825	-0.0665	-0.024	-3.18542	3.57059
46	Iverson, Allen	DET	0.0000	0	0	0	0	NULL	NULL	NULL	0	0	0	0	NULL	NULL	192.0000	330	326	312	374	94.5455	114.724	-20.1785	52	56	112	132	0.282609	0.666667	NULL	NULL	NULL	NULL	NULL	NULL	-4.83065	2.65785
50	Hunter, Steven	DEN	0.0000	0	0	0	0	NULL	NULL	NULL	0	0	0	0	NULL	NULL	720.0000	1390	1387	1633	1486	117.482	107.138	10.3443	231	226	485	477	0.326271	0.682138	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
51	Magloire, Jamaal	MIA	47.4833	83	90	83	109	100	121.111	-21.1111	17	18	28	30	0.361702	0.608696	288.5167	501	496	534	502	106.587	101.21	5.3771	70	92	195	172	0.2893	0.6794	-21.1111	0.361702	0.608696	-26.4882	0.0724	-0.0707	-1.15368	3.95187
52	Iguodala, Andre	PHI	268.6333	496	495	494	527	99.5968	106.465	-6.86787	70	80	179	183	0.27668	0.69112	19.3667	36	36	37	50	102.778	138.889	-36.1111	4	6	10	12	0.25	0.625	-6.86787	0.27668	0.69112	29.2432	0.0267	0.0661	10.6979	3.49677
54	Korver, Kyle	UTA	136.2167	268	265	284	297	105.97	112.075	-6.10532	53	38	94	100	0.346405	0.712121	103.7833	203	206	203	236	100	114.563	-14.5631	40	33	63	68	0.3704	0.6563	-6.10532	0.346405	0.712121	8.4578	-0.024	0.0559	-2.09197	2.92683
55	Williams, Mo	CLE	540.7500	953	941	1106	973	116.055	103.401	12.6539	189	149	362	324	0.368421	0.708415	136.2500	251	266	260	274	103.586	103.007	0.5781	51	47	101	86	0.3723	0.6824	12.6539	0.368421	0.708415	12.0758	-0.0039	0.026	-0.572044	2.5535
59	Salmons, John	CHI	312.7500	600	599	627	682	104.5	113.856	-9.35643	97	108	215	213	0.312903	0.665635	58.2500	115	115	131	106	113.913	92.1739	21.7391	21	16	49	36	0.3684	0.7538	-9.35643	0.312903	0.665635	-31.0955	-0.0555	-0.0882	-9.78313	2.52801
63	Smith, J.R.	DEN	405.5167	794	783	951	851	119.773	108.685	11.0888	135	143	272	271	0.332512	0.655422	314.4833	596	604	682	635	114.429	105.132	9.2971	96	83	213	206	0.3179	0.7196	11.0888	0.332512	0.655422	1.7917	0.0146	-0.0642	3.47472	2.68281
65	Miller, Brad	CHI	185.7833	372	341	399	348	107.258	102.053	5.20528	55	56	140	130	0.297297	0.714286	185.2167	343	373	359	440	104.665	117.963	-13.2977	63	68	124	119	0.3462	0.6458	5.20528	0.297297	0.714286	18.503	-0.0489	0.0685	4.12589	2.73932
67	Stojakovic, Peja	NOH	162.1167	303	298	269	373	88.7789	125.168	-36.3889	43	48	89	118	0.267081	0.649635	77.8833	146	153	152	169	104.11	110.457	-6.3479	17	19	60	52	0.2464	0.7595	-36.3889	0.267081	0.649635	-30.041	0.0207	-0.1099	-0.678777	2.92804
68	Bibby, Mike	ATL	389.8000	679	678	705	750	103.829	110.619	-6.79031	119	127	216	260	0.313984	0.629738	138.2000	239	236	219	252	91.6318	106.78	-15.1479	51	47	80	103	0.3312	0.6299	-6.79031	0.313984	0.629738	8.3576	-0.0172	-0.0002	-3.02208	3.00551
69	West, David	NOH	178.4000	330	331	328	413	99.3939	124.773	-25.3795	40	48	109	116	0.25641	0.694268	61.6000	119	120	93	129	78.1513	107.5	-29.3487	20	19	40	54	0.2703	0.678	-25.3795	0.25641	0.694268	3.9692	-0.0139	0.0163	-0.509534	3.43811
70	Paul, Chris	NOH	201.0667	379	378	365	460	96.3061	121.693	-25.3871	49	55	124	141	0.257895	0.692737	38.9333	70	73	56	82	80	112.329	-32.3288	11	12	25	29	0.275	0.6757	-25.3871	0.257895	0.692737	6.9417	-0.0171	0.017	14.8175	4.13563
72	Claxton, Speedy	ATL	3.3333	6	6	8	5	133.333	83.3333	50	4	0	4	1	0.8	1	524.6667	912	908	916	997	100.439	109.802	-9.3632	166	174	292	362	0.3144	0.6266	50	0.8	1	59.3632	0.4856	0.3734	NULL	NULL
73	Andersen, Chris	DEN	303.0833	583	586	705	614	120.926	104.778	16.1481	117	101	207	201	0.367925	0.672078	416.9167	807	801	928	872	114.994	108.864	6.1299	114	125	278	276	0.2923	0.6898	16.1481	0.367925	0.672078	10.0182	0.0756	-0.0177	2.2	3.11296
75	Hart, Jason	DEN	18.8667	37	36	27	39	72.973	108.333	-35.3604	6	5	12	13	0.315789	0.705882	701.1333	1353	1351	1606	1447	118.699	107.106	11.5933	225	221	473	464	0.3266	0.6816	-35.3604	0.315789	0.705882	-46.9537	-0.0108	0.0243	NULL	NULL
76	Butler, Rasual	NOH	157.5500	294	295	292	364	99.3197	123.39	-24.0701	43	49	95	108	0.284768	0.659722	82.4500	155	156	129	178	83.2258	114.103	-30.8768	17	18	54	62	0.2152	0.75	-24.0701	0.284768	0.659722	6.8067	0.0696	-0.0903	-11.092	2.91497
83	Bass, Brandon	DAL	191.8000	360	364	419	406	116.389	111.538	4.85043	55	49	132	127	0.302198	0.729282	288.2000	543	541	597	619	109.945	114.418	-4.473	86	87	199	178	0.3258	0.6958	4.85043	0.302198	0.729282	9.3234	-0.0236	0.0335	0.494367	3.44526
85	Price, Ronnie	UTA	16.0333	30	31	40	37	133.333	119.355	13.9785	10	8	11	11	0.47619	0.578947	223.9667	441	440	447	496	101.36	112.727	-11.3667	83	63	146	157	0.3458	0.6986	13.9785	0.47619	0.578947	25.3452	0.1304	-0.1197	-6.75729	4.23123
86	Johnson, Joe	ATL	428.8667	742	737	743	792	100.135	107.463	-7.32792	132	155	244	297	0.307692	0.611529	99.1333	176	177	181	210	102.841	118.644	-15.8032	38	19	52	66	0.3654	0.7324	-7.32792	0.307692	0.611529	8.4753	-0.0577	-0.1209	5.36611	3.29688
88	Pachulia, Zaza	ATL	260.1833	442	438	462	479	104.525	109.361	-4.83584	93	100	146	171	0.352273	0.593496	267.8167	476	476	462	523	97.0588	109.874	-12.8151	77	74	150	192	0.2862	0.6696	-4.83584	0.352273	0.593496	7.9793	0.0661	-0.0761	-0.941184	3.07782
93	Foyle, Adonal	ORL	3.8500	10	9	8	11	80	122.222	-42.2222	0	1	2	3	0	0.666667	1163.1500	2152	2159	2319	2272	107.76	105.234	2.5263	351	352	787	784	0.3093	0.691	-42.2222	0	0.666667	-44.7485	-0.3093	-0.0243	NULL	NULL
94	Smith, Josh	ATL	410.5000	711	708	713	765	100.281	108.051	-7.76955	126	142	237	280	0.310345	0.62533	117.5000	207	206	211	237	101.932	115.049	-13.1162	44	32	59	83	0.3465	0.6484	-7.76955	0.310345	0.62533	5.3466	-0.0362	-0.0231	0.819598	2.83447
96	Lue, Tyronn	ORL	3.8500	10	10	11	12	110	120	-10	0	0	2	3	0	1	1163.1500	2152	2158	2316	2271	107.621	105.236	2.3845	351	353	787	784	0.3093	0.6904	-10	0	1	-12.3845	-0.3093	0.3096	-5.51023	4.00264
97	Williams, Marvin	ATL	97.3000	179	171	165	181	92.1788	105.848	-13.6692	27	36	57	72	0.272727	0.612903	430.7000	739	743	759	821	102.706	110.498	-7.7916	143	138	239	291	0.3295	0.634	-13.6692	0.272727	0.612903	-5.8776	-0.0568	-0.0211	-4.53684	2.55413
98	Pietrus, Mickael	ORL	617.7167	1137	1158	1225	1209	107.74	104.404	3.33552	202	199	413	411	0.329527	0.674837	549.2833	1025	1010	1102	1074	107.512	106.337	1.1756	149	154	376	376	0.2838	0.7094	3.33552	0.329527	0.674837	2.1599	0.0457	-0.0346	-1.30497	2.61488
103	Fisher, Derek	LAL	608.3500	1153	1159	1279	1184	110.928	102.157	8.77098	208	217	413	403	0.340426	0.655556	457.6500	879	873	973	911	110.694	104.353	6.3412	156	156	323	315	0.3312	0.6743	8.77098	0.340426	0.655556	2.4298	0.0092	-0.0187	-11.3051	4.08501
109	Ivey, Royal	PHI	44.6167	84	86	81	81	96.4286	94.186	2.24252	13	6	31	37	0.26	0.837838	243.3833	448	445	450	496	100.446	111.461	-11.0142	61	80	158	158	0.2785	0.6639	2.24252	0.26	0.837838	13.2567	-0.0185	0.1739	-10.7427	3.52894
110	Hinrich, Kirk	CHI	210.3667	410	413	437	449	106.585	108.717	-2.13134	71	65	153	140	0.336493	0.701835	160.6333	305	301	321	339	105.246	112.625	-7.3787	47	59	111	109	0.3013	0.6529	-2.13134	0.336493	0.701835	5.2474	0.0352	0.0489	2.78902	2.63879
114	Knight, Brevin	UTA	16.5000	30	30	24	42	80	140	-60	2	9	8	13	0.133333	0.470588	223.5000	441	441	463	491	104.989	111.338	-6.3492	91	62	149	155	0.3699	0.7062	-60	0.133333	0.470588	-53.6508	-0.2366	-0.2356	-6.15599	4.04416
116	Rush, Kareem	PHI	0.0000	0	0	0	0	NULL	NULL	NULL	0	0	0	0	NULL	NULL	288.0000	532	531	531	577	99.812	108.663	-8.85087	74	86	189	195	0.275093	0.687273	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
118	Chandler, Tyson	NOH	93.5500	171	171	157	220	91.8129	128.655	-36.8421	18	30	52	68	0.209302	0.634146	146.4500	278	280	264	322	94.964	115	-20.036	42	37	97	102	0.2917	0.7239	-36.8421	0.209302	0.634146	-16.8061	-0.0824	-0.0898	-5.26065	3.49839
119	Gordon, Ben	CHI	304.1500	592	583	629	645	106.25	110.635	-4.38465	94	107	216	208	0.311258	0.668731	66.8500	123	131	129	143	104.878	109.16	-4.2823	24	17	48	41	0.3692	0.7385	-4.38465	0.311258	0.668731	-0.1023	-0.0579	-0.0698	-1.83754	2.68977
