PlayerID	PlayerTrueName	Team	MinOnCourt	PossForOnCourt	PossOppOnCourt	PointsForOnCourt	PointsOppOnCourt	OffRtgOnCourt	DefRtgOnCourt	OverallRtgOnCourt	ORebForOnCourt	ORebOppOnCourt	DRebForOnCourt	DRebOppOnCourt	ORebRateOnCourt	DRebRateOnCourt	MinOffCourt	PossForOffCourt	PossOppOffCourt	PointsForOffCourt	PointsOppOffCourt	OffRtgOffCourt	DefRtgOffCourt	OverallRtgOffCourt	ORebForOffCourt	ORebOppOffCourt	DRebForOffCourt	DRebOppOffCourt	ORebRateOffCourt	DRebRateOffCourt	OverallRtgOnCourtMinusOffCourt	ORebRateOnCourtMinusOffCourt	DRebRateOnCourtMinusOffCourt
1	Howard, Josh	DAL	294.7167	566	567	638	612	112.7208	107.9365	4.7843	89	78	214	187	0.3225	0.7329	185.2833	337	338	378	413	112.1662	122.1893	-10.0232	52	58	117	118	0.3059	0.6686	14.8075	0.0166	0.0643
2	Thomas, Kurt	SAS	79.7833	145	144	128	166	88.2759	115.2778	-27.0019	19	19	53	63	0.2317	0.7361	160.2167	288	288	324	316	112.5000	109.7222	2.7778	44	40	100	106	0.2933	0.7143	-29.7797	-0.0616	0.0218
3	Dampier, Erick	DAL	254.7833	467	470	550	534	117.7730	113.6170	4.1560	78	73	169	143	0.3529	0.6983	225.2167	436	435	466	491	106.8807	112.8736	-5.9928	63	63	162	162	0.2800	0.7200	10.1488	0.0729	-0.0217
5	Nowitzki, Dirk	DAL	393.8667	752	744	855	833	113.6968	111.9624	1.7344	112	109	276	249	0.3102	0.7169	86.1333	151	161	161	192	106.6225	119.2547	-12.6321	29	27	55	56	0.3412	0.6707	14.3665	-0.0310	0.0462
6	Terry, Jason	DAL	325.4833	616	615	676	727	109.7403	118.2114	-8.4711	101	97	217	213	0.3217	0.6911	154.5167	287	290	340	298	118.4669	102.7586	15.7083	40	39	114	92	0.3030	0.7451	-24.1794	0.0187	-0.0540
10	Jones, James	MIA	235.1667	405	401	438	432	108.1481	107.7307	0.4175	57	71	153	136	0.2953	0.6830	100.8333	179	185	179	179	100.0000	96.7568	3.2432	30	39	70	66	0.3125	0.6422	-2.8257	-0.0172	0.0408
20	House, Eddie	BOS	232.2667	465	438	480	487	103.2258	111.1872	-7.9614	54	70	145	171	0.2400	0.6744	474.7333	880	907	950	943	107.9545	103.9691	3.9854	167	146	344	318	0.3443	0.7020	-11.9468	-0.1043	-0.0276
21	Martin, Kenyon	DEN	502.2000	968	968	1123	1056	116.0124	109.0909	6.9215	151	161	334	335	0.3107	0.6747	217.8000	422	419	510	430	120.8531	102.6253	18.2278	80	65	151	142	0.3604	0.6991	-11.3063	-0.0497	-0.0244
25	Anthony, Carmelo	DEN	571.5333	1097	1101	1322	1204	120.5105	109.3551	11.1554	172	180	381	371	0.3168	0.6791	148.4667	293	286	311	282	106.1433	98.6014	7.5419	59	46	104	106	0.3576	0.6933	3.6135	-0.0408	-0.0142
26	Duncan, Tim	SAS	163.5667	296	295	321	345	108.4459	116.9492	-8.5032	47	50	96	113	0.2938	0.6575	76.4333	137	137	131	137	95.6204	100.0000	-4.3796	16	9	57	56	0.2222	0.8636	-4.1236	0.0716	-0.2061
28	Bowen, Bruce	SAS	129.8167	234	238	255	250	108.9744	105.0420	3.9323	35	28	87	82	0.2991	0.7565	110.1833	199	194	197	232	98.9950	119.5876	-20.5927	28	31	66	87	0.2435	0.6804	24.5250	0.0556	0.0761
29	Finley, Michael	SAS	143.3333	262	260	265	298	101.1450	114.6154	-13.4703	43	39	88	108	0.2848	0.6929	96.6667	171	172	187	184	109.3567	106.9767	2.3800	20	20	65	61	0.2469	0.7647	-15.8503	0.0379	-0.0718
30	Parker, Tony	SAS	181.3000	336	331	354	371	105.3571	112.0846	-6.7274	44	43	116	125	0.2604	0.7296	58.7000	97	101	98	111	101.0309	109.9010	-8.8701	19	16	37	44	0.3016	0.6981	2.1427	-0.0412	0.0315
31	Miller, Andre	PHI	257.9333	474	474	472	529	99.5781	111.6034	-12.0253	66	82	169	170	0.2797	0.6733	30.0667	58	57	59	48	101.7241	84.2105	17.5136	8	4	20	25	0.2424	0.8333	-29.5389	0.0373	-0.1600
33	Barry, Brent	HOU	35.0000	69	71	66	76	95.6522	107.0423	-11.3901	11	11	24	29	0.2750	0.6857	589.0000	1074	1069	1123	1132	104.5624	105.8934	-1.3310	173	180	405	383	0.3112	0.6923	-10.0591	-0.0362	-0.0066
