PlayerID	PlayerName	PlayerTrueName	League	TeamName3	Year	Position	Comment	StartDate	EndDate
1	Howard	Howard, Josh	NBA	WAS	2010-2011	3.01	SeasonStart	2010-10-25	2011-07-01
2	Thomas	Thomas, Kurt	NBA	CHI	2010-2011	4.48	SeasonStart	2010-10-25	2011-07-01
3	Dampier	Dampier, Erick	NBA	MIA	2010-2011	4.99	20101127MIADAL	2010-11-23	2011-07-01
4	Marion	Marion, Shawn	NBA	DAL	2010-2011	3.5	SeasonStart	2010-10-25	2011-07-01
5	Nowitzki	Nowitzki, Dirk	NBA	DAL	2010-2011	4.02	SeasonStart	2010-10-25	2011-07-01
6	Terry	Terry, Jason	NBA	DAL	2010-2011	1.5	SeasonStart	2010-10-25	2011-07-01
7	Bell	Bell, Raja	NBA	UTA	2010-2011	1.98	SeasonStart	2010-10-25	2011-07-01
8	Nash	Nash, Steve	NBA	PHX	2010-2011	1	SeasonStart	2010-10-25	2011-07-01
10	Jones	Jones, James	NBA	MIA	2010-2011	2.99	SeasonStart	2010-10-25	2011-07-01
12	Diaw	Diaw, Boris	NBA	CHA	2010-2011	4.5	SeasonStart	2010-10-25	2011-07-01
14	Daniels	Daniels, Marquis	NBA	BOS	2010-2011	2.48	SeasonStart	2010-10-25	2011-07-01
15	Harris	Harris, Devin	NBA	UTA	2010-2011	1	20110225UTAIND	2011-02-23	2011-07-01
15	Harris	Harris, Devin	NBA	NJN	2010-2011	1	SeasonStart	2010-10-25	2011-02-23
16	Barbosa	Barbosa, Leandro	NBA	TOR	2010-2011	1.99	SeasonStart	2010-10-25	2011-07-01
17	Diop	Diop, DeSagana	NBA	CHA	2010-2011	5	SeasonStart	2010-10-25	2011-07-01
20	House	House, Eddie	NBA	MIA	2010-2011	1.5	SeasonStart	2010-10-25	2011-07-01
21	Martin	Martin, Kenyon	NBA	DEN	2010-2011	4.01	SeasonStart	2010-10-25	2011-07-01
23	Camby	Camby, Marcus	NBA	POR	2010-2011	4.51	SeasonStart	2010-10-25	2011-07-01
24	Ginobili	Ginobili, Manu	NBA	SAS	2010-2011	2.5	SeasonStart	2010-10-25	2011-07-01
25	Anthony	Anthony, Carmelo	NBA	NYK	2010-2011	3	20110223MILNYK	2011-02-22	2011-07-01
25	Anthony	Anthony, Carmelo	NBA	DEN	2010-2011	3	SeasonStart	2010-10-25	2011-02-22
26	Duncan	Duncan, Tim	NBA	SAS	2010-2011	4.5	SeasonStart	2010-10-25	2011-07-01
30	Parker	Parker, Tony	NBA	SAS	2010-2011	1	SeasonStart	2010-10-25	2011-07-01
31	Miller	Miller, Andre	NBA	POR	2010-2011	1.02	SeasonStart	2010-10-25	2011-07-01
34	Hilario	Hilario, Nene	NBA	DEN	2010-2011	4.51	SeasonStart	2010-10-25	2011-07-01
34	Nene	Hilario, Nene	NBA	DEN	2010-2011	4.51	SeasonStart	2010-10-25	2011-07-01
35	Boykins	Boykins, Earl	NBA	MIL	2010-2011	0.99	SeasonStart	2010-10-25	2011-07-01
36	Najera	Najera, Eduardo	NBA	CHA	2010-2011	3.99	SeasonStart	2010-10-25	2011-07-01
37	Oberto	Oberto, Fabricio	NBA	POR	2010-2011	4.98	SeasonStart	2010-10-25	2011-07-01
40	Mohammed	Mohammed, Nazr	NBA	CHA	2010-2011	4.98	SeasonStart	2010-10-25	2011-02-24
40	Mohammed	Mohammed, Nazr	NBA	OKC	2010-2011	4.98	20110302INDOKC	2011-02-24	2011-07-01
42	Elson	Elson, Francisco	NBA	UTA	2010-2011	4.97	SeasonStart	2010-10-25	2011-07-01
45	Redd	Redd, Michael	NBA	MIL	2010-2011	2	SeasonStart	2010-10-25	2011-07-01
47	Ford	Ford, T.J.	NBA	IND	2010-2011	1.01	SeasonStart	2010-10-25	2011-07-01
48	Simmons	Simmons, Bobby	NBA	SAS	2010-2011	2.99	SeasonStart	2010-10-25	2011-07-01
49	Bogut	Bogut, Andrew	NBA	MIL	2010-2011	5	SeasonStart	2010-10-25	2011-07-01
51	Magloire	Magloire, Jamaal	NBA	MIA	2010-2011	4.98	SeasonStart	2010-10-25	2011-07-01
52	Iguodala	Iguodala, Andre	NBA	PHI	2010-2011	2.5	SeasonStart	2010-10-25	2011-07-01
54	Korver	Korver, Kyle	NBA	CHI	2010-2011	2.99	SeasonStart	2010-10-25	2011-07-01
55	Williams	Williams, Mo	NBA	LAC	2010-2011	1	20110228LACSAC	2011-02-24	2011-07-01
55	M. Williams	Williams, Mo	NBA	CLE	2010-2011	1	SeasonStart	2010-10-25	2010-12-27
55	Williams	Williams, Mo	NBA	CLE	2010-2011	1	SeasonStart	2010-12-27	2011-02-24
56	Gadzuric	Gadzuric, Dan	NBA	GSW	2010-2011	5.01	SeasonStart	2010-10-25	2011-02-24
56	Gadzuric	Gadzuric, Dan	NBA	NJN	2010-2011	5.01	20110226NJNHOU	2011-02-24	2011-07-01
59	Salmons	Salmons, John	NBA	MIL	2010-2011	2.5	SeasonStart	2010-10-25	2011-07-01
60	Bell	Bell, Charlie	NBA	GSW	2010-2011	1.99	SeasonStart	2010-10-25	2011-07-01
63	Smith	Smith, J.R.	NBA	DEN	2010-2011	2.01	SeasonStart	2010-10-25	2011-07-01
65	Miller	Miller, Brad	NBA	HOU	2010-2011	4.51	SeasonStart	2010-10-25	2011-07-01
67	Stojakovic	Stojakovic, Peja	NBA	TOR	2010-2011	3.03	20101124PHITOR	2010-11-22	2011-01-24
67	Stojakovic	Stojakovic, Peja	NBA	DAL	2010-2011	3.03	20110207CLEDAL	2011-01-24	2011-07-01
67	Stojakovic	Stojakovic, Peja	NBA	NOH	2010-2011	3.03	SeasonStart	2010-10-25	2010-11-22
68	Bibby	Bibby, Mike	NBA	MIA	2010-2011	1.01	20110303ORLMIA	2011-03-03	2011-07-01
