PlayerID	PlayerTrueName	Team	MinOnCourt	PossForOnCourt	PossOppOnCourt	PointsForOnCourt	PointsOppOnCourt	OffRtgOnCourt	DefRtgOnCourt	OverallRtgOnCourt	ORebForOnCourt	ORebOppOnCourt	DRebForOnCourt	DRebOppOnCourt	ORebRateOnCourt	DRebRateOnCourt	MinOffCourt	PossForOffCourt	PossOppOffCourt	PointsForOffCourt	PointsOppOffCourt	OffRtgOffCourt	DefRtgOffCourt	OverallRtgOffCourt	ORebForOffCourt	ORebOppOffCourt	DRebForOffCourt	DRebOppOffCourt	ORebRateOffCourt	DRebRateOffCourt	OverallRtgOnCourtMinusOffCourt	ORebRateOnCourtMinusOffCourt	DRebRateOnCourtMinusOffCourt
1	Howard, Josh	WAS	408.6333	819	824	808	895	98.6569	108.6165	-9.9596	154	138	276	322	0.3235	0.6667	3577.3667	6986	6965	7169	7689	102.6195	110.3948	-7.7753	1299	1324	2303	2488	0.3430	0.6350	-2.1843	-0.0195	0.0317
2	Thomas, Kurt	CHI	1178.2333	2207	2209	2369	2211	107.3403	100.0905	7.2497	374	342	848	779	0.3244	0.7126	2787.7667	5264	5273	5718	5276	108.6246	100.0569	8.5677	1079	909	1982	1759	0.3802	0.6856	-1.3180	-0.0558	0.0270
3	Dampier, Erick	MIA	814.8333	1553	1551	1686	1575	108.5641	101.5474	7.0167	248	275	607	520	0.3229	0.6882	3141.1667	5942	5952	6683	6182	112.4705	103.8642	8.6063	960	1043	2262	2014	0.3228	0.6844	-1.5896	0.0001	0.0038
4	Marion, Shawn	DAL	2253.0167	4269	4288	4571	4570	107.0743	106.5765	0.4978	694	731	1574	1481	0.3191	0.6829	1687.9833	3252	3227	3649	3303	112.2079	102.3551	9.8527	432	530	1210	1126	0.2773	0.6954	-9.3549	0.0418	-0.0125
5	Nowitzki, Dirk	DAL	2504.0000	4808	4778	5433	4902	112.9992	102.5952	10.4039	683	800	1821	1600	0.2992	0.6948	1437.0000	2713	2737	2787	2971	102.7276	108.5495	-5.8219	443	461	963	1007	0.3055	0.6763	16.2258	-0.0063	0.0185
6	Terry, Jason	DAL	2564.4500	4900	4854	5469	5139	111.6122	105.8714	5.7408	787	855	1776	1664	0.3211	0.6750	1376.5500	2621	2661	2751	2734	104.9599	102.7433	2.2166	339	406	1008	943	0.2644	0.7129	3.5242	0.0567	-0.0379
7	Bell, Raja	UTA	2097.1833	4030	4027	4296	4511	106.6005	112.0189	-5.4184	671	756	1340	1402	0.3237	0.6393	1878.8167	3551	3555	3857	3792	108.6173	106.6667	1.9506	658	619	1207	1180	0.3580	0.6610	-7.3690	-0.0343	-0.0217
8	Nash, Steve	PHX	2497.1167	4972	4924	5665	5378	113.9381	109.2201	4.7179	732	892	1716	1730	0.2973	0.6580	1503.8833	2899	2957	2946	3306	101.6212	111.8025	-10.1813	487	532	970	1079	0.3110	0.6458	14.8992	-0.0137	0.0122
10	Jones, James	MIA	1548.9667	2934	2935	3259	3019	111.0770	102.8620	8.2150	454	530	1082	1042	0.3035	0.6712	2407.0333	4561	4568	5110	4738	112.0368	103.7215	8.3153	754	788	1787	1492	0.3357	0.6940	-0.1003	-0.0322	-0.0228
12	Diaw, Boris	CHA	2778.2667	5209	5200	5413	5651	103.9163	108.6731	-4.7568	888	852	1843	1862	0.3229	0.6839	1182.7333	2183	2193	2237	2327	102.4737	106.1104	-3.6367	395	372	804	761	0.3417	0.6837	-1.1201	-0.0188	0.0002
14	Daniels, Marquis	BOS	938.2167	1745	1761	1785	1782	102.2923	101.1925	1.0998	247	312	604	607	0.2892	0.6594	3017.7833	5693	5673	6128	5691	107.6410	100.3173	7.3237	777	971	2133	1930	0.2870	0.6872	-6.2239	0.0022	-0.0278
15	Harris, Devin	NJN	1723.6000	3230	3210	3365	3557	104.1796	110.8100	-6.6304	546	537	1161	1163	0.3195	0.6837	2277.4000	4272	4285	4357	4677	101.9897	109.1482	-7.1585	786	789	1490	1595	0.3301	0.6538	0.5281	-0.0106	0.0299
15	Harris, Devin	UTA	529.9333	1029	1025	1164	1180	113.1195	115.1220	-2.0024	170	213	327	326	0.3427	0.6056	3446.0667	6552	6557	6989	7123	106.6697	108.6320	-1.9623	1159	1162	2220	2256	0.3394	0.6564	-0.0401	0.0033	-0.0508
16	Barbosa, Leandro	TOR	1394.5833	2718	2720	2922	3068	107.5055	112.7941	-5.2886	488	509	913	925	0.3454	0.6421	2561.4167	4954	4955	5202	5571	105.0061	112.4319	-7.4258	872	824	1639	1739	0.3340	0.6654	2.1372	0.0114	-0.0233
17	Diop, DeSagana	CHA	181.1333	345	353	326	367	94.4928	103.9660	-9.4733	58	57	133	123	0.3204	0.7000	3779.8667	7047	7040	7324	7611	103.9308	108.1108	-4.1800	1225	1167	2514	2500	0.3289	0.6830	-5.2933	-0.0085	0.0170
20	House, Eddie	MIA	978.2000	1839	1842	2006	1901	109.0810	103.2030	5.8780	313	362	689	663	0.3207	0.6556	2977.8000	5656	5661	6363	5856	112.5000	103.4446	9.0554	895	956	2180	1871	0.3236	0.6952	-3.1774	-0.0029	-0.0396
21	Martin, Kenyon	DEN	1233.3833	2442	2427	2752	2549	112.6945	105.0268	7.6677	386	355	943	832	0.3169	0.7265	2707.6167	5401	5412	6059	5872	112.1829	108.4996	3.6833	885	927	1919	1860	0.3224	0.6743	3.9844	-0.0055	0.0522
23	Camby, Marcus	POR	1540.5333	2757	2782	3012	2979	109.2492	107.0812	2.1679	572	471	947	958	0.3739	0.6678	2420.4667	4540	4508	4884	4792	107.5771	106.2999	1.2772	792	810	1462	1598	0.3314	0.6435	0.8907	0.0425	0.0243
24	Ginobili, Manu	SAS	2425.3500	4768	4773	5453	4914	114.3666	102.9541	11.4125	734	770	1755	1643	0.3088	0.6950	1530.6500	2867	2876	3049	3120	106.3481	108.4840	-2.1359	484	484	1041	1045	0.3165	0.6826	13.5484	-0.0077	0.0124
25	Anthony, Carmelo	DEN	1774.4000	3522	3513	3972	3818	112.7768	108.6820	4.0948	522	631	1300	1218	0.3000	0.6732	2166.6000	4321	4326	4839	4603	111.9880	106.4031	5.5848	749	651	1562	1474	0.3369	0.7058	-1.4900	-0.0369	-0.0326
25	Anthony, Carmelo	NYK	977.0000	1936	1933	2206	2176	113.9463	112.5711	1.3751	315	346	633	693	0.3125	0.6466	2979.0000	5959	5971	6528	6494	109.5486	108.7590	0.7896	882	1079	2010	2180	0.2880	0.6507	0.5855	0.0245	-0.0041
26	Duncan, Tim	SAS	2156.4500	4214	4167	4703	4244	111.6042	101.8479	9.7563	644	662	1611	1472	0.3043	0.7088	1799.5500	3421	3482	3799	3790	111.0494	108.8455	2.2039	574	592	1185	1216	0.3207	0.6669	7.5524	-0.0164	0.0419
30	Parker, Tony	SAS	2527.9167	4919	4915	5421	5111	110.2053	103.9878	6.2175	754	766	1849	1753	0.3008	0.7071	1428.0833	2716	2734	3081	2923	113.4389	106.9129	6.5259	464	488	947	935	0.3317	0.6599	-0.3084	-0.0309	0.0472
31	Miller, Andre	POR	2650.1167	4816	4804	5365	5111	111.3995	106.3905	5.0090	903	832	1632	1643	0.3547	0.6623	1310.8833	2481	2486	2531	2660	102.0153	106.9992	-4.9839	461	449	777	913	0.3355	0.6338	9.9929	0.0192	0.0285
34	Hilario, Nene	DEN	2291.0167	4504	4506	5093	4772	113.0773	105.9032	7.1740	667	710	1727	1560	0.2995	0.7087	1649.9833	3339	3333	3718	3649	111.3507	109.4809	1.8698	604	572	1135	1132	0.3479	0.6649	5.3042	-0.0484	0.0438
35	Boykins, Earl	MIL	861.6667	1616	1614	1656	1614	102.4752	100.0000	2.4752	272	287	572	593	0.3145	0.6659	3104.3333	5811	5822	5878	5989	101.1530	102.8684	-1.7154	1022	941	2079	2235	0.3138	0.6884	4.1906	0.0007	-0.0225
