Team	Min	PossFor	PossOpp	PointsFor	PointsOpp	OffRtg	DefRtg	OverallRtg	ORebFor	ORebOpp	DRebFor	DRebOpp	ORebRate	DRebRate
ATL	3946.0000	7353	7355	7790	7857	105.943	106.825	-0.882137	1129	1208	2650	2656	0.298283	0.686884
BOS	3956.0000	7438	7434	7913	7473	106.386	100.525	5.86151	1024	1283	2737	2537	0.28756	0.680846
CHA	3961.0000	7392	7393	7650	7978	103.49	107.913	-4.42263	1283	1224	2647	2623	0.328469	0.683803
CHI	3966.0000	7471	7482	8087	7487	108.245	100.067	8.17839	1453	1251	2830	2538	0.364069	0.693457
CLE	3951.0000	7660	7675	7827	8566	102.18	111.609	-9.42896	1330	1296	2664	2889	0.315241	0.672727
DAL	3941.0000	7521	7515	8220	7873	109.294	104.764	4.53017	1126	1261	2784	2607	0.301634	0.688257
DEN	3941.0000	7843	7839	8811	8421	112.342	107.424	4.9178	1271	1282	2862	2692	0.320717	0.690637
DET	3976.0000	7374	7387	7951	8246	107.825	111.629	-3.80375	1391	1260	2404	2629	0.34602	0.656114
GSW	3966.0000	7861	7853	8477	8668	107.836	110.378	-2.54205	1317	1511	2557	2798	0.320049	0.628564
HOU	3976.0000	7828	7829	8685	8506	110.948	108.647	2.30054	1394	1344	2723	2748	0.336552	0.669535
IND	3956.0000	7818	7814	8183	8271	104.669	105.848	-1.17976	1335	1404	2842	2815	0.321687	0.669336
LAC	3971.0000	7679	7667	8089	8346	105.339	108.856	-3.5169	1532	1372	2691	2614	0.369513	0.662318
LAL	3966.0000	7535	7531	8321	7820	110.431	103.837	6.59385	1388	1370	2808	2615	0.34674	0.672092
MEM	3976.0000	7607	7605	8195	8003	107.73	105.233	2.49632	1442	1351	2564	2579	0.358617	0.654917
MIA	3956.0000	7495	7503	8369	7757	111.661	103.385	8.27579	1208	1318	2869	2534	0.322822	0.685216
MIL	3966.0000	7427	7436	7534	7603	101.441	102.246	-0.805142	1294	1228	2651	2828	0.313925	0.683424
MIN	3956.0000	7985	7974	8288	8832	103.795	110.76	-6.96535	1534	1353	2743	2762	0.357076	0.669678
NJN	4001.0000	7502	7495	7722	8234	102.933	109.86	-6.92736	1332	1326	2651	2758	0.325672	0.666583
NOH	3966.0000	7343	7324	7784	7711	106.006	105.284	0.721722	1197	1141	2631	2638	0.312125	0.697508
NYK	3956.0000	7895	7904	8734	8670	110.627	109.691	0.935684	1197	1425	2643	2873	0.294103	0.649705
OKC	4001.0000	7763	7776	8596	8285	110.73	106.546	4.18461	1273	1369	2785	2620	0.326997	0.670438
ORL	3966.0000	7518	7514	8135	7687	108.207	102.302	5.9046	1389	1276	2856	2638	0.344922	0.691191
PHI	3986.0000	7642	7646	8119	7996	106.242	104.578	1.66426	1210	1245	2779	2796	0.302047	0.690606
PHX	4001.0000	7871	7881	8611	8684	109.402	110.189	-0.787462	1219	1424	2686	2809	0.302632	0.653528
POR	3961.0000	7297	7290	7896	7771	108.209	106.598	1.61077	1364	1281	2409	2556	0.347959	0.652846
SAC	3971.0000	7881	7875	8151	8589	103.426	109.067	-5.64071	1547	1312	2697	2741	0.360774	0.672736
SAS	3956.0000	7635	7649	8502	8034	111.356	105.033	6.32226	1218	1254	2796	2688	0.311828	0.69037
TOR	3956.0000	7672	7675	8124	8639	105.892	112.56	-6.66871	1360	1333	2552	2664	0.337972	0.656885
UTA	3976.0000	7581	7582	8153	8303	107.545	109.509	-1.96419	1329	1375	2547	2582	0.339811	0.649414
WAS	3986.0000	7805	7789	7977	8584	102.204	110.207	-8.00299	1453	1462	2579	2810	0.34084	0.638208
