PlayerID	PlayerName	PlayerTrueName	League	TeamName3	Year	Position	Comment	StartDate	EndDate
2	Thomas	Thomas, Kurt	NBA	MIL	2010 playoffs	4.48	SeasonStart	2010-04-16	2010-07-01
3	Dampier	Dampier, Erick	NBA	DAL	2010 playoffs	4.99	SeasonStart	2010-04-16	2010-07-01
4	Marion	Marion, Shawn	NBA	DAL	2010 playoffs	3.5	SeasonStart	2010-04-16	2010-07-01
5	Nowitzki	Nowitzki, Dirk	NBA	DAL	2010 playoffs	4.02	SeasonStart	2010-04-16	2010-07-01
6	Terry	Terry, Jason	NBA	DAL	2010 playoffs	1.5	SeasonStart	2010-04-16	2010-07-01
8	Nash	Nash, Steve	NBA	PHX	2010 playoffs	1	SeasonStart	2010-04-16	2010-07-01
10	Jones	Jones, James	NBA	MIA	2010 playoffs	2.99	SeasonStart	2010-04-16	2010-07-01
12	Diaw	Diaw, Boris	NBA	CHA	2010 playoffs	4.5	SeasonStart	2010-04-16	2010-07-01
14	Daniels	Daniels, Marquis	NBA	BOS	2010 playoffs	2.48	SeasonStart	2010-04-16	2010-07-01
16	Barbosa	Barbosa, Leandro	NBA	PHX	2010 playoffs	1.99	SeasonStart	2010-04-16	2010-07-01
17	Diop	Diop, DeSagana	NBA	CHA	2010 playoffs	5	SeasonStart	2010-04-16	2010-07-01
21	Martin	Martin, Kenyon	NBA	DEN	2010 playoffs	4	SeasonStart	2010-04-16	2010-07-01
23	Camby	Camby, Marcus	NBA	POR	2010 playoffs	4.51	SeasonStart	2010-04-16	2010-07-01
24	Ginobili	Ginobili, Manu	NBA	SAS	2010 playoffs	2.5	SeasonStart	2010-04-16	2010-07-01
25	Anthony	Anthony, Carmelo	NBA	DEN	2010 playoffs	3	SeasonStart	2010-04-16	2010-07-01
26	Duncan	Duncan, Tim	NBA	SAS	2010 playoffs	4.5	SeasonStart	2010-04-16	2010-07-01
29	Finley	Finley, Michael	NBA	BOS	2010 playoffs	2.01	SeasonStart	2010-04-16	2010-07-01
30	Parker	Parker, Tony	NBA	SAS	2010 playoffs	1	SeasonStart	2010-04-16	2010-07-01
31	Miller	Miller, Andre	NBA	POR	2010 playoffs	1.02	SeasonStart	2010-04-16	2010-07-01
34	Hilario	Hilario, Nene	NBA	DEN	2010 playoffs	4.51	SeasonStart	2010-04-16	2010-07-01
34	Nene	Hilario, Nene	NBA	DEN	2010 playoffs	4.51	SeasonStart	2010-04-16	2010-07-01
36	Najera	Najera, Eduardo	NBA	DAL	2010 playoffs	4	SeasonStart	2010-04-16	2010-07-01
40	Mohammed	Mohammed, Nazr	NBA	CHA	2010 playoffs	4.98	SeasonStart	2010-04-16	2010-07-01
45	Redd	Redd, Michael	NBA	MIL	2010 playoffs	2	SeasonStart	2010-04-16	2010-07-01
49	Bogut	Bogut, Andrew	NBA	MIL	2010 playoffs	5	SeasonStart	2010-04-16	2010-07-01
51	Magloire	Magloire, Jamaal	NBA	MIA	2010 playoffs	5	SeasonStart	2010-04-16	2010-07-01
54	Korver	Korver, Kyle	NBA	UTA	2010 playoffs	2.99	SeasonStart	2010-04-16	2010-07-01
