Team	Min	PossFor	PossOpp	PointsFor	PointsOpp	OffRtg	DefRtg	OverallRtg	ORebFor	ORebOpp	DRebFor	DRebOpp	ORebRate	DRebRate
ATL	528.0000	946	945	984	1059	104.017	112.063	-8.04658	194	184	326	352	0.355311	0.639216
BOS	1157.0000	2148	2148	2253	2187	104.888	101.816	3.07263	363	389	773	765	0.321809	0.665232
CHA	192.0000	341	341	342	379	100.293	111.144	-10.8504	63	64	124	119	0.346154	0.659574
CHI	240.0000	466	465	485	531	104.077	114.194	-10.1163	84	66	165	180	0.318182	0.714286
CLE	528.0000	1020	1025	1102	1088	108.039	106.146	1.89287	158	185	375	358	0.306202	0.669643
DAL	288.0000	534	531	557	560	104.307	105.461	-1.15428	94	96	199	196	0.324138	0.674576
DEN	288.0000	581	576	656	663	112.909	115.104	-2.19539	105	99	186	188	0.358362	0.652632
LAL	1100.5667	2064	2057	2313	2226	112.064	108.216	3.84811	413	396	747	708	0.368421	0.653543
MIA	240.0000	452	452	438	479	96.9027	105.973	-9.0708	73	66	153	165	0.306723	0.69863
MIL	336.0000	602	604	630	656	104.651	108.609	-3.95811	117	126	208	225	0.342105	0.622755
OKC	288.0000	545	545	563	573	103.303	105.138	-1.83486	102	110	199	211	0.325879	0.644013
ORL	677.0000	1220	1217	1352	1231	110.82	101.15	9.6693	222	217	458	422	0.34472	0.678519
PHX	764.5667	1440	1450	1703	1628	118.264	112.276	5.98803	270	265	507	484	0.35809	0.656736
POR	288.0000	524	523	558	620	106.489	118.547	-12.0583	103	105	170	196	0.344482	0.618182
SAS	480.0000	911	910	961	995	105.488	109.341	-3.85219	159	154	328	336	0.321212	0.680498
UTA	480.0000	944	949	1071	1093	113.453	115.174	-1.72048	178	176	305	318	0.358871	0.634096
