League	Year	UnitPlayer1ID	UnitPlayer2ID	UnitPlayer3ID	UnitPlayer4ID	UnitPlayer5ID	OpponentPlayer1ID	OpponentPlayer2ID	OpponentPlayer3ID	OpponentPlayer4ID	OpponentPlayer5ID	UnitPlayer1Name	UnitPlayer2Name	UnitPlayer3Name	UnitPlayer4Name	UnitPlayer5Name	OpponentPlayer1Name	OpponentPlayer2Name	OpponentPlayer3Name	OpponentPlayer4Name	OpponentPlayer5Name	Observations	ElapsedSecs	PossessionsUnit	PossessionsOpponent	PointsScoredUnit	PointsScoredOpponent	OffensiveRtgUnit	OffensiveRtgOpponent	OverallRtgUnitVsOpponent	OverallRtgOpponentVsUnit	OffensiveReboundsUnit	OffensiveReboundsOpponent	DefensiveReboundsUnit	DefensiveReboundsOpponent	OffensiveReboundingRateUnit	OffensiveReboundingRateOpponent	DefensiveReboundingRateUnit	DefensiveReboundingRateOpponent
NBA	2011 playoffs	6	148	712	5	322	103	560	186	241	197	Terry, Jason	Stevenson, DeShawn	Brewer, Corey	Nowitzki, Dirk	Haywood, Brendan	Fisher, Derek	Brown, Shannon	Bryant, Kobe	Barnes, Matt	Gasol, Pau	1	27	1	1	0	2	0	200	-200	200	0	1	0	0	NULL	1	0	NULL
NBA	2011 playoffs	20	204	10	260	258	553	239	240	285	203	House, Eddie	Wade, Dwyane	Jones, James	James, LeBron	Ilgauskas, Zydrunas	Rondo, Rajon	West, Delonte	Pierce, Paul	Garnett, Kevin	O'Neal, Shaquille	1	62	2	2	4	2	200	100	100	-100	0	0	0	0	NULL	NULL	NULL	NULL
NBA	2011 playoffs	20	204	10	260	258	553	239	240	715	203	House, Eddie	Wade, Dwyane	Jones, James	James, LeBron	Ilgauskas, Zydrunas	Rondo, Rajon	West, Delonte	Pierce, Paul	Green, Jeff	O'Neal, Shaquille	1	46	2	2	0	2	0	100	-100	100	0	0	1	1	0	0	1	1
NBA	2011 playoffs	20	204	10	319	700	281	921	52	681	167	House, Eddie	Wade, Dwyane	Jones, James	Bosh, Chris	Anthony, Joel	Williams, Louis	Turner, Evan	Iguodala, Andre	Young, Thaddeus	Brand, Elton	1	158	5	5	5	4	100	80	20	-20	0	2	2	3	0	0.5	0.5	1
NBA	2011 playoffs	20	204	260	201	319	222	6	4	484	5	House, Eddie	Wade, Dwyane	James, LeBron	Haslem, Udonis	Bosh, Chris	Kidd, Jason	Terry, Jason	Marion, Shawn	Cardinal, Brian	Nowitzki, Dirk	1	23	2	1	0	1	0	100	-100	100	0	0	1	1	0	0	1	1
NBA	2011 playoffs	20	204	260	201	319	222	6	4	484	660	House, Eddie	Wade, Dwyane	James, LeBron	Haslem, Udonis	Bosh, Chris	Kidd, Jason	Terry, Jason	Marion, Shawn	Cardinal, Brian	Mahinmi, Ian	1	49	2	2	2	0	100	0	100	-100	1	0	1	1	0.5	0	1	0.5
NBA	2011 playoffs	20	204	260	201	700	222	6	4	5	118	House, Eddie	Wade, Dwyane	James, LeBron	Haslem, Udonis	Anthony, Joel	Kidd, Jason	Terry, Jason	Marion, Shawn	Nowitzki, Dirk	Chandler, Tyson	1	58	2	1	2	2	100	200	-100	100	0	0	0	0	NULL	NULL	NULL	NULL
NBA	2011 playoffs	20	204	260	319	700	222	6	4	5	118	House, Eddie	Wade, Dwyane	James, LeBron	Bosh, Chris	Anthony, Joel	Kidd, Jason	Terry, Jason	Marion, Shawn	Nowitzki, Dirk	Chandler, Tyson	1	103	3	4	2	2	66.6667	50	16.6667	-16.6667	1	0	2	1	0.5	0	1	0.5
NBA	2011 playoffs	20	204	260	319	700	563	6	148	5	118	House, Eddie	Wade, Dwyane	James, LeBron	Bosh, Chris	Anthony, Joel	Barea, Jose	Terry, Jason	Stevenson, DeShawn	Nowitzki, Dirk	Chandler, Tyson	1	13	1	0	1	0	100	NULL	NULL	NULL	1	0	0	0	1	NULL	NULL	0
NBA	2011 playoffs	20	209	10	260	258	239	240	675	715	203	House, Eddie	Miller, Mike	Jones, James	James, LeBron	Ilgauskas, Zydrunas	West, Delonte	Pierce, Paul	Davis, Glen	Green, Jeff	O'Neal, Shaquille	1	81	3	3	6	4	200	133.333	66.6667	-66.6667	0	0	0	0	NULL	NULL	NULL	NULL
NBA	2011 playoffs	20	209	10	260	258	553	239	240	715	203	House, Eddie	Miller, Mike	Jones, James	James, LeBron	Ilgauskas, Zydrunas	Rondo, Rajon	West, Delonte	Pierce, Paul	Green, Jeff	O'Neal, Shaquille	1	14	0	1	0	2	NULL	200	NULL	NULL	0	0	0	0	NULL	NULL	NULL	NULL
NBA	2011 playoffs	20	209	260	201	304	222	6	4	484	660	House, Eddie	Miller, Mike	James, LeBron	Haslem, Udonis	Howard, Juwan	Kidd, Jason	Terry, Jason	Marion, Shawn	Cardinal, Brian	Mahinmi, Ian	2	221	6	6	5	11	83.3333	183.333	-100	100	3	1	0	1	0.75	1	0	0.25
NBA	2011 playoffs	20	209	260	201	304	222	6	148	484	660	House, Eddie	Miller, Mike	James, LeBron	Haslem, Udonis	Howard, Juwan	Kidd, Jason	Terry, Jason	Stevenson, DeShawn	Cardinal, Brian	Mahinmi, Ian	1	54	2	3	3	3	150	100	50	-50	0	0	1	0	NULL	0	1	NULL
NBA	2011 playoffs	30	24	221	26	930	707	501	834	287	769	Parker, Tony	Ginobili, Manu	Jefferson, Richard	Duncan, Tim	Splitter, Tiago	Conley, Mike	Allen, Tony	Young, Sam	Randolph, Zach	Gasol, Marc	1	108	3	3	0	4	0	133.333	-133.333	133.333	0	0	1	2	0	0	1	1
NBA	2011 playoffs	30	24	221	26	930	707	771	198	287	769	Parker, Tony	Ginobili, Manu	Jefferson, Richard	Duncan, Tim	Splitter, Tiago	Conley, Mike	Mayo, O.J.	Battier, Shane	Randolph, Zach	Gasol, Marc	1	106	4	4	2	4	50	100	-50	50	1	0	1	1	0.5	0	1	0.5
NBA	2011 playoffs	30	24	221	275	26	707	501	198	287	769	Parker, Tony	Ginobili, Manu	Jefferson, Richard	McDyess, Antonio	Duncan, Tim	Conley, Mike	Allen, Tony	Battier, Shane	Randolph, Zach	Gasol, Marc	5	527	17	13	21	12	123.529	92.3077	31.2217	-31.2217	3	2	6	3	0.5	0.25	0.75	0.5
NBA	2011 playoffs	30	24	221	275	26	707	501	834	287	769	Parker, Tony	Ginobili, Manu	Jefferson, Richard	McDyess, Antonio	Duncan, Tim	Conley, Mike	Allen, Tony	Young, Sam	Randolph, Zach	Gasol, Marc	9	2196	70	69	59	58	84.2857	84.058	0.227743	-0.227743	9	16	30	27	0.25	0.347826	0.652174	0.75
NBA	2011 playoffs	30	24	221	275	26	707	771	198	287	769	Parker, Tony	Ginobili, Manu	Jefferson, Richard	McDyess, Antonio	Duncan, Tim	Conley, Mike	Mayo, O.J.	Battier, Shane	Randolph, Zach	Gasol, Marc	4	91	2	5	1	3	50	60	-10	10	0	4	1	1	0	0.8	0.2	1
NBA	2011 playoffs	30	24	221	275	26	707	834	198	287	769	Parker, Tony	Ginobili, Manu	Jefferson, Richard	McDyess, Antonio	Duncan, Tim	Conley, Mike	Young, Sam	Battier, Shane	Randolph, Zach	Gasol, Marc	2	188	5	5	8	4	160	80	80	-80	1	0	2	1	0.5	0	1	0.5
NBA	2011 playoffs	30	24	221	275	26	894	501	834	287	769	Parker, Tony	Ginobili, Manu	Jefferson, Richard	McDyess, Antonio	Duncan, Tim	Vasquez, Greivis	Allen, Tony	Young, Sam	Randolph, Zach	Gasol, Marc	1	126	5	4	0	8	0	200	-200	200	0	0	1	2	0	0	1	1
NBA	2011 playoffs	30	24	221	330	26	707	771	198	287	769	Parker, Tony	Ginobili, Manu	Jefferson, Richard	Bonner, Matt	Duncan, Tim	Conley, Mike	Mayo, O.J.	Battier, Shane	Randolph, Zach	Gasol, Marc	2	223	6	7	5	9	83.3333	128.571	-45.2381	45.2381	1	2	3	2	0.333333	0.4	0.6	0.666667
NBA	2011 playoffs	30	24	221	330	26	707	834	198	768	769	Parker, Tony	Ginobili, Manu	Jefferson, Richard	Bonner, Matt	Duncan, Tim	Conley, Mike	Young, Sam	Battier, Shane	Arthur, Darrell	Gasol, Marc	1	55	2	2	2	0	100	0	100	-100	0	1	2	1	0	0.333333	0.666667	1
NBA	2011 playoffs	30	24	221	330	858	894	771	501	768	287	Parker, Tony	Ginobili, Manu	Jefferson, Richard	Bonner, Matt	Blair, DeJuan	Vasquez, Greivis	Mayo, O.J.	Allen, Tony	Arthur, Darrell	Randolph, Zach	1	81	3	2	5	2	166.667	100	66.6667	-66.6667	0	1	2	1	0	0.333333	0.666667	1
NBA	2011 playoffs	30	24	221	330	930	707	771	198	768	287	Parker, Tony	Ginobili, Manu	Jefferson, Richard	Bonner, Matt	Splitter, Tiago	Conley, Mike	Mayo, O.J.	Battier, Shane	Arthur, Darrell	Randolph, Zach	1	36	0	1	2	2	NULL	200	NULL	NULL	0	0	0	0	NULL	NULL	NULL	NULL
NBA	2011 playoffs	30	24	221	330	930	707	771	198	768	770	Parker, Tony	Ginobili, Manu	Jefferson, Richard	Bonner, Matt	Splitter, Tiago	Conley, Mike	Mayo, O.J.	Battier, Shane	Arthur, Darrell	Haddadi, Hamed	1	87	3	2	5	0	166.667	0	166.667	-166.667	0	0	1	1	0	0	1	1
NBA	2011 playoffs	30	24	221	858	26	707	501	834	768	769	Parker, Tony	Ginobili, Manu	Jefferson, Richard	Blair, DeJuan	Duncan, Tim	Conley, Mike	Allen, Tony	Young, Sam	Arthur, Darrell	Gasol, Marc	1	62	3	2	1	0	33.3333	0	33.3333	-33.3333	0	0	2	0	NULL	0	1	NULL
NBA	2011 playoffs	30	24	221	858	275	707	771	501	287	769	Parker, Tony	Ginobili, Manu	Jefferson, Richard	Blair, DeJuan	McDyess, Antonio	Conley, Mike	Mayo, O.J.	Allen, Tony	Randolph, Zach	Gasol, Marc	1	55	2	2	4	0	200	0	200	-200	0	0	2	0	NULL	0	1	NULL
NBA	2011 playoffs	30	24	813	330	26	707	834	198	768	769	Parker, Tony	Ginobili, Manu	Green, Danny	Bonner, Matt	Duncan, Tim	Conley, Mike	Young, Sam	Battier, Shane	Arthur, Darrell	Gasol, Marc	1	32	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1
NBA	2011 playoffs	30	793	24	26	930	707	501	834	287	769	Parker, Tony	Hill, George	Ginobili, Manu	Duncan, Tim	Splitter, Tiago	Conley, Mike	Allen, Tony	Young, Sam	Randolph, Zach	Gasol, Marc	1	53	2	3	0	5	0	166.667	-166.667	166.667	0	1	0	1	0	1	0	1
NBA	2011 playoffs	30	793	24	26	930	707	771	834	287	769	Parker, Tony	Hill, George	Ginobili, Manu	Duncan, Tim	Splitter, Tiago	Conley, Mike	Mayo, O.J.	Young, Sam	Randolph, Zach	Gasol, Marc	1	14	0	1	0	0	NULL	0	NULL	NULL	0	0	0	0	NULL	NULL	NULL	NULL
NBA	2011 playoffs	30	793	24	221	26	707	771	198	287	769	Parker, Tony	Hill, George	Ginobili, Manu	Jefferson, Richard	Duncan, Tim	Conley, Mike	Mayo, O.J.	Battier, Shane	Randolph, Zach	Gasol, Marc	1	1	0	1	0	2	NULL	200	NULL	NULL	0	0	0	0	NULL	NULL	NULL	NULL
NBA	2011 playoffs	30	793	24	221	275	707	501	834	198	768	Parker, Tony	Hill, George	Ginobili, Manu	Jefferson, Richard	McDyess, Antonio	Conley, Mike	Allen, Tony	Young, Sam	Battier, Shane	Arthur, Darrell	1	2	1	0	2	0	200	NULL	NULL	NULL	0	0	0	0	NULL	NULL	NULL	NULL
NBA	2011 playoffs	30	793	24	221	275	707	771	834	198	769	Parker, Tony	Hill, George	Ginobili, Manu	Jefferson, Richard	McDyess, Antonio	Conley, Mike	Mayo, O.J.	Young, Sam	Battier, Shane	Gasol, Marc	1	5	0	1	0	3	NULL	300	NULL	NULL	0	0	0	0	NULL	NULL	NULL	NULL
NBA	2011 playoffs	30	793	24	221	330	707	501	834	198	769	Parker, Tony	Hill, George	Ginobili, Manu	Jefferson, Richard	Bonner, Matt	Conley, Mike	Allen, Tony	Young, Sam	Battier, Shane	Gasol, Marc	1	55	3	2	0	2	0	100	-100	100	0	0	1	2	0	0	1	1
NBA	2011 playoffs	30	793	24	275	26	707	501	198	287	769	Parker, Tony	Hill, George	Ginobili, Manu	McDyess, Antonio	Duncan, Tim	Conley, Mike	Allen, Tony	Battier, Shane	Randolph, Zach	Gasol, Marc	2	44	2	0	2	0	100	NULL	NULL	NULL	0	0	0	0	NULL	NULL	NULL	NULL
