League	Year	GameDate	GameID	BoxScoreURL	PlayByPlayURL	HomeNameFull	HomeName3	AwayNameFull	AwayName3	HaveBoxScore	HavePlayByPlay	AnalyzedPlayByPlay
NBA	2011 playoffs	2011-04-16	20110416ATLORL	http://www.nba.com/games/20110416/ATLORL/boxscore.html	http://www.nba.com/games/20110416/ATLORL/gameinfo.html	Orlando Magic	ORL	Atlanta Hawks	ATL	NULL	2011-04-16 23:01:46	2011-04-16 23:11:10
NBA	2011 playoffs	2011-04-16	20110416INDCHI	http://www.nba.com/games/20110416/INDCHI/boxscore.html	http://www.nba.com/games/20110416/INDCHI/gameinfo.html	Chicago Bulls	CHI	Indianapolis Pacers	IND	NULL	2011-04-16 23:01:49	2011-04-16 23:11:42
NBA	2011 playoffs	2011-04-16	20110416PHIMIA	http://www.nba.com/games/20110416/PHIMIA/boxscore.html	http://www.nba.com/games/20110416/PHIMIA/gameinfo.html	Miami Heat	MIA	Philadelphia 76ers	PHI	NULL	2011-04-16 23:01:52	2011-04-16 23:11:58
NBA	2011 playoffs	2011-04-16	20110416PORDAL	http://www.nba.com/games/20110416/PORDAL/boxscore.html	http://www.nba.com/games/20110416/PORDAL/gameinfo.html	Dallas Maverics	DAL	Portland Trailblazers	POR	NULL	2011-04-17 23:44:11	2011-04-17 23:44:47
NBA	2011 playoffs	2011-04-17	20110417DENOKC	http://www.nba.com/games/20110417/DENOKC/boxscore.html	http://www.nba.com/games/20110417/DENOKC/gameinfo.html	Oklahoma City Thunder	OKC	Denver Nuggets	DEN	NULL	2011-04-18 00:24:53	2011-04-18 00:25:01
NBA	2011 playoffs	2011-04-17	20110417MEMSAS	http://www.nba.com/games/20110417/MEMSAS/boxscore.html	http://www.nba.com/games/20110417/MEMSAS/gameinfo.html	San Antonio Spurs	SAS	Memphis Grizzlies	MEM	NULL	2011-04-17 20:03:35	2011-04-17 21:01:24
NBA	2011 playoffs	2011-04-17	20110417NOHLAL	http://www.nba.com/games/20110417/NOHLAL/boxscore.html	http://www.nba.com/games/20110417/NOHLAL/gameinfo.html	Los Angeles Lakers	LAL	New Orleans Hornets	NOH	NULL	2011-04-17 20:03:38	2011-04-17 21:01:34
NBA	2011 playoffs	2011-04-17	20110417NYKBOS	http://www.nba.com/games/20110417/NYKBOS/boxscore.html	http://www.nba.com/games/20110417/NYKBOS/gameinfo.html	Boston Celtics	BOS	New York Knicks	NYK	NULL	2011-04-17 23:45:14	2011-04-17 23:50:11
NBA	2011 playoffs	2011-04-18	20110418INDCHI	http://www.nba.com/games/20110418/INDCHI/boxscore.html	http://www.nba.com/games/20110418/INDCHI/gameinfo.html	Chicago Bulls	CHI	Indianapolis Pacers	IND	NULL	2011-04-19 00:30:35	2011-04-19 00:31:17
NBA	2011 playoffs	2011-04-18	20110418PHIMIA	http://www.nba.com/games/20110418/PHIMIA/boxscore.html	http://www.nba.com/games/20110418/PHIMIA/gameinfo.html	Miami Heat	MIA	Philadelphia 76ers	PHI	NULL	2011-04-19 00:30:45	2011-04-19 00:31:33
NBA	2011 playoffs	2011-04-19	20110419ATLORL	http://www.nba.com/games/20110419/ATLORL/boxscore.html	http://www.nba.com/games/20110419/ATLORL/gameinfo.html	Orlando Magic	ORL	Atlanta Hawks	ATL	NULL	2011-04-20 10:04:03	2011-04-20 10:10:27
NBA	2011 playoffs	2011-04-19	20110419NYKBOS	http://www.nba.com/games/20110419/NYKBOS/boxscore.html	http://www.nba.com/games/20110419/NYKBOS/gameinfo.html	Boston Celtics	BOS	New York Knicks	NYK	NULL	2011-04-20 10:04:05	2011-04-20 10:12:29
NBA	2011 playoffs	2011-04-19	20110419PORDAL	http://www.nba.com/games/20110419/PORDAL/boxscore.html	http://www.nba.com/games/20110419/PORDAL/gameinfo.html	Dallas Maverics	DAL	Portland Trailblazers	POR	NULL	2011-04-20 10:04:08	2011-04-22 09:59:25
NBA	2011 playoffs	2011-04-20	20110420DENOKC	http://www.nba.com/games/20110420/DENOKC/boxscore.html	http://www.nba.com/games/20110420/DENOKC/gameinfo.html	Oklahoma City Thunder	OKC	Denver Nuggets	DEN	NULL	2011-04-20 23:57:13	2011-04-20 23:57:52
NBA	2011 playoffs	2011-04-20	20110420MEMSAS	http://www.nba.com/games/20110420/MEMSAS/boxscore.html	http://www.nba.com/games/20110420/MEMSAS/gameinfo.html	San Antonio Spurs	SAS	Memphis Grizzlies	MEM	NULL	2011-04-20 23:57:17	2011-04-20 23:58:13
NBA	2011 playoffs	2011-04-20	20110420NOHLAL	http://www.nba.com/games/20110420/NOHLAL/boxscore.html	http://www.nba.com/games/20110420/NOHLAL/gameinfo.html	Los Angeles Lakers	LAL	New Orleans Hornets	NOH	NULL	2011-04-21 10:00:49	2011-04-21 10:00:56
