PlayerID	PlayerName	PlayerTrueName	League	TeamName3	Year	Comment	StartDate	EndDate
1	Jo. Howard	Howard, Josh	NBA	DAL	2008 playoffs	SeasonStart	2008-04-19	2008-07-01
2	Thomas	Thomas, Kurt	NBA	SAS	2008 playoffs	Trade	2008-04-19	2008-07-01
3	Dampier	Dampier, Erick	NBA	DAL	2008 playoffs	SeasonStart	2008-04-19	2008-07-01
5	Nowitzki	Nowitzki, Dirk	NBA	DAL	2008 playoffs	SeasonStart	2008-04-19	2008-07-01
6	Terry	Terry, Jason	NBA	DAL	2008 playoffs	SeasonStart	2008-04-19	2008-07-01
7	Bell	Bell, Raja	NBA	PHX	2008 playoffs	Season Start	2008-04-19	2008-07-01
8	Nash	Nash, Steve	NBA	PHX	2008 playoffs	Season Start	2008-04-19	2008-07-01
12	Diaw	Diaw, Boris	NBA	PHX	2008 playoffs	Season Start	2008-04-19	2008-07-01
16	Barbosa	Barbosa, Leandro	NBA	PHX	2008 playoffs	Season Start	2008-04-19	2008-07-01
20	House	House, Eddie	NBA	BOS	2008 playoffs	SeasonStart	2008-04-19	2008-07-01
21	Martin	Martin, Kenyon	NBA	DEN	2008 playoffs	SeasonStart	2008-04-19	2008-07-01
22	Nesterovic	Nesterovic, Rasho	NBA	TOR	2008 playoffs	SeasonStart	2008-04-19	2008-07-01
23	Camby	Camby, Marcus	NBA	DEN	2008 playoffs	SeasonStart	2008-04-19	2008-07-01
24	Ginobili	Ginobili, Manu	NBA	SAS	2008 playoffs	Season Start	2008-04-19	2008-07-01
25	Anthony	Anthony, Carmelo	NBA	DEN	2008 playoffs	SeasonStart	2008-04-19	2008-07-01
26	Duncan	Duncan, Tim	NBA	SAS	2008 playoffs	Season Start	2008-04-19	2008-07-01
28	Bowen	Bowen, Bruce	NBA	SAS	2008 playoffs	Season Start	2008-04-19	2008-07-01
29	Finley	Finley, Michael	NBA	SAS	2008 playoffs	Season Start	2008-04-19	2008-07-01
30	Parker	Parker, Tony	NBA	SAS	2008 playoffs	Season Start	2008-04-19	2008-07-01
31	Miller	Miller, Andre	NBA	PHI	2008 playoffs	SeasonStart	2008-04-19	2008-07-01
32	Horry	Horry, Robert	NBA	SAS	2008 playoffs	Season Start	2008-04-19	2008-07-01
33	Barry	Barry, Brent	NBA	SAS	2008 playoffs	Season Start	2008-04-19	2008-07-01
34	Nene	Hilario, Nene	NBA	DEN	2008 playoffs	SeasonStart	2008-04-19	2008-07-01
34	Hilario	Hilario, Nene	NBA	DEN	2008 playoffs	SeasonStart	2008-04-19	2008-07-01
36	Najera	Najera, Eduardo	NBA	DEN	2008 playoffs	SeasonStart	2008-04-19	2008-07-01
37	Oberto	Oberto, Fabricio	NBA	SAS	2008 playoffs	Season Start	2008-04-19	2008-07-01
41	Johnson	Johnson, DerMarr	NBA	SAS	2008 playoffs	20071230MEMSAS	2008-04-19	2008-07-01
