PlayerID	PlayerTrueName	Team	MinOnCourt	PossForOnCourt	PossOppOnCourt	PointsForOnCourt	PointsOppOnCourt	OffRtgOnCourt	DefRtgOnCourt	OverallRtgOnCourt	ORebForOnCourt	ORebOppOnCourt	DRebForOnCourt	DRebOppOnCourt	ORebRateOnCourt	DRebRateOnCourt	MinOffCourt	PossForOffCourt	PossOppOffCourt	PointsForOffCourt	PointsOppOffCourt	OffRtgOffCourt	DefRtgOffCourt	OverallRtgOffCourt	ORebForOffCourt	ORebOppOffCourt	DRebForOffCourt	DRebOppOffCourt	ORebRateOffCourt	DRebRateOffCourt	OverallRtgOnCourtMinusOffCourt	ORebRateOnCourtMinusOffCourt	DRebRateOnCourtMinusOffCourt
2	Thomas, Kurt	CHI	74.0167	141	137	142	155	100.7092	113.1387	-12.4295	36	23	50	44	0.4500	0.6849	698.9833	1262	1260	1338	1257	106.0222	99.7619	6.2603	275	207	471	449	0.3798	0.6947	-18.6898	0.0702	-0.0098
4	Marion, Shawn	DAL	690.4167	1251	1260	1368	1301	109.3525	103.2540	6.0985	205	236	449	427	0.3244	0.6555	322.5833	590	590	695	641	117.7966	108.6441	9.1525	91	98	196	212	0.3003	0.6667	-3.0540	0.0241	-0.0112
5	Nowitzki, Dirk	DAL	826.0000	1506	1492	1723	1553	114.4090	104.0885	10.3206	240	261	541	514	0.3183	0.6746	187.0000	335	358	340	389	101.4925	108.6592	-7.1667	56	73	104	125	0.3094	0.5876	17.4873	0.0089	0.0870
6	Terry, Jason	DAL	683.9667	1264	1255	1478	1330	116.9304	105.9761	10.9543	212	227	414	411	0.3403	0.6459	329.0333	577	595	585	612	101.3865	102.8571	-1.4707	84	107	231	228	0.2692	0.6834	12.4250	0.0711	-0.0375
10	Jones, James	MIA	271.9333	488	489	553	491	113.3197	100.4090	12.9107	86	84	191	165	0.3426	0.6945	746.0667	1340	1343	1395	1401	104.1045	104.3187	-0.2142	234	243	499	477	0.3291	0.6725	13.1249	0.0135	0.0220
20	House, Eddie	MIA	47.7333	91	95	93	93	102.1978	97.8947	4.3031	14	9	36	32	0.3043	0.8000	970.2667	1737	1737	1855	1799	106.7933	103.5694	3.2239	306	318	654	610	0.3341	0.6728	1.0792	-0.0298	0.1272
21	Martin, Kenyon	DEN	148.1667	294	299	294	322	100.0000	107.6923	-7.6923	46	62	107	119	0.2788	0.6331	91.8333	181	176	193	189	106.6298	107.3864	-0.7565	35	32	62	68	0.3398	0.6596	-6.9358	-0.0610	-0.0265
23	Camby, Marcus	POR	166.8500	289	292	290	306	100.3460	104.7945	-4.4485	47	55	107	106	0.3072	0.6605	121.1500	216	213	239	254	110.6481	119.2488	-8.6007	33	38	71	74	0.3084	0.6514	4.1522	-0.0012	0.0091
24	Ginobili, Manu	SAS	174.3333	335	331	350	331	104.4776	100.0000	4.4776	51	54	123	118	0.3018	0.6949	118.6667	222	224	216	254	97.2973	113.3929	-16.0956	41	33	76	86	0.3228	0.6972	20.5732	-0.0210	-0.0023
25	Anthony, Carmelo	NYK	155.5000	296	293	292	332	98.6486	113.3106	-14.6619	69	61	85	111	0.3833	0.5822	36.5000	67	71	71	65	105.9701	91.5493	14.4209	19	11	27	27	0.4130	0.7105	-29.0828	-0.0297	-0.1283
26	Duncan, Tim	SAS	211.9833	400	397	406	424	101.5000	106.8010	-5.3010	64	66	141	138	0.3168	0.6812	81.0167	157	158	160	161	101.9108	101.8987	0.0121	28	21	58	66	0.2979	0.7342	-5.3131	0.0189	-0.0530
