League	Year	GameDate	GameID	BoxScoreURL	PlayByPlayURL	HomeNameFull	HomeName3	AwayNameFull	AwayName3	HaveBoxScore	HavePlayByPlay	AnalyzedPlayByPlay
NBA	2006-2007	2006-10-31	20061031CHIMIA	http://www.nba.com/games/20061031/CHIMIA/boxscore.html	http://www.nba.com/games/20061031/CHIMIA/playbyplay.html	Miami Heat	MIA	Chicago Bulls	CHI	NULL	2006-11-04 23:57:07	2006-11-05 00:04:51
NBA	2006-2007	2006-10-31	20061031PHXLAL	http://www.nba.com/games/20061031/PHXLAL/boxscore.html	http://www.nba.com/games/20061031/PHXLAL/playbyplay.html	Los Angeles Lakers	LAL	Phoenix Suns	PHX	NULL	2006-11-04 23:57:32	2006-11-05 00:06:52
NBA	2006-2007	2006-11-01	20061101ATLPHI	http://www.nba.com/games/20061101/ATLPHI/boxscore.html	http://www.nba.com/games/20061101/ATLPHI/playbyplay.html	Philadelphia 76ers	PHI	Atlanta Hawks	ATL	NULL	2006-11-04 23:42:24	2006-11-04 23:52:58
NBA	2006-2007	2006-11-01	20061101CHIORL	http://www.nba.com/games/20061101/CHIORL/boxscore.html	http://www.nba.com/games/20061101/CHIORL/playbyplay.html	Orlando Magic	ORL	Chicago Bulls	CHI	NULL	2006-11-04 23:42:52	2006-11-04 23:53:11
NBA	2006-2007	2006-11-01	20061101HOUUTA	http://www.nba.com/games/20061101/HOUUTA/boxscore.html	http://www.nba.com/games/20061101/HOUUTA/playbyplay.html	Utah Jazz	UTA	Houston Rockets	HOU	NULL	2006-11-04 23:43:21	2006-11-04 23:55:13
NBA	2006-2007	2006-11-01	20061101INDCHA	http://www.nba.com/games/20061101/INDCHA/boxscore.html	http://www.nba.com/games/20061101/INDCHA/playbyplay.html	Charlotte Bobcats	CHA	Indianapolis Pacers	IND	NULL	2006-11-04 23:43:55	2006-11-04 23:55:30
NBA	2006-2007	2006-11-01	20061101LACPHX	http://www.nba.com/games/20061101/LACPHX/boxscore.html	http://www.nba.com/games/20061101/LACPHX/playbyplay.html	Phoenix Suns	PHX	Los Angeles Clippers	LAC	NULL	2006-11-04 23:44:24	2006-11-04 23:55:40
NBA	2006-2007	2006-11-01	20061101MILDET	http://www.nba.com/games/20061101/MILDET/boxscore.html	http://www.nba.com/games/20061101/MILDET/playbyplay.html	Detroit Pistons	DET	Milwaukee Bucks	MIL	NULL	2006-11-04 23:44:54	2006-11-04 23:55:54
NBA	2006-2007	2006-11-01	20061101NOKBOS	http://www.nba.com/games/20061101/NOKBOS/boxscore.html	http://www.nba.com/games/20061101/NOKBOS/playbyplay.html	Boston Celtics	BOS	New Orleans/Oklahoma City Hornets	NOK	NULL	2006-11-04 23:45:26	2006-11-04 23:56:13
NBA	2006-2007	2006-11-01	20061101NYKMEM	http://www.nba.com/games/20061101/NYKMEM/boxscore.html	http://www.nba.com/games/20061101/NYKMEM/playbyplay.html	Memphis Grizzlies	MEM	New York Knicks	NYK	NULL	2006-11-04 23:46:03	2006-11-04 23:56:36
NBA	2006-2007	2006-11-01	20061101PORSEA	http://www.nba.com/games/20061101/PORSEA/boxscore.html	http://www.nba.com/games/20061101/PORSEA/playbyplay.html	Seattle Supersonics	SEA	Portland Trailblazers	POR	NULL	2006-11-04 23:46:41	2006-11-04 23:56:50
NBA	2006-2007	2006-11-01	20061101SACMIN	http://www.nba.com/games/20061101/SACMIN/boxscore.html	http://www.nba.com/games/20061101/SACMIN/playbyplay.html	Minnesota Timberwolves	MIN	Sacramento Kings	SAC	NULL	2006-11-04 23:47:10	2006-11-05 14:41:47
NBA	2006-2007	2006-11-01	20061101WASCLE	http://www.nba.com/games/20061101/WASCLE/boxscore.html	http://www.nba.com/games/20061101/WASCLE/playbyplay.html	Cleveland Cavaliers	CLE	Washington Wizards	WAS	NULL	2006-11-04 23:47:37	2006-11-05 00:02:01
NBA	2006-2007	2006-11-01	20061101TORNJN	http://www.nba.com/games/20061101/TORNJN/boxscore.html	http://www.nba.com/games/20061101/TORNJN/playbyplay.html	New Jersey Nets	NJN	Toronto Raptors	TOR	NULL	2006-11-04 23:48:06	2006-11-05 00:02:14
NBA	2006-2007	2006-11-01	20061101LALGSW	http://www.nba.com/games/20061101/LALGSW/boxscore.html	http://www.nba.com/games/20061101/LALGSW/playbyplay.html	Golden State Warriors	GSW	Los Angeles Lakers	LAL	NULL	2006-11-04 23:48:41	2006-11-05 00:02:25
NBA	2006-2007	2006-11-03	20061103CHAMEM	http://www.nba.com/games/20061103/CHAMEM/boxscore.html	http://www.nba.com/games/20061103/CHAMEM/playbyplay.html	Memphis Grizzlies	MEM	Charlotte Bobcats	CHA	NULL	2006-11-05 11:02:47	2006-11-05 11:39:12
