League	Year	GameDate	GameID	BoxScoreURL	PlayByPlayURL	HomeNameFull	HomeName3	AwayNameFull	AwayName3	HaveBoxScore	HavePlayByPlay	AnalyzedPlayByPlay
NBA	2007-2008	2007-10-30	20071030HOULAL	http://www.nba.com/games/20071030/HOULAL/boxscore.html	http://www.nba.com/games/20071030/HOULAL/playbyplay.html	Los Angeles Lakers	LAL	Houston Rockets	HOU	NULL	2007-10-31 07:00:58	2008-12-09 13:27:18
NBA	2007-2008	2007-10-30	20071030PORSAS	http://www.nba.com/games/20071030/PORSAS/boxscore.html	http://www.nba.com/games/20071030/PORSAS/playbyplay.html	San Antonio Spurs	SAS	Portland Trailblazers	POR	NULL	2007-10-30 23:40:31	2008-12-09 13:27:24
NBA	2007-2008	2007-10-30	20071030UTAGSW	http://www.nba.com/games/20071030/UTAGSW/boxscore.html	http://www.nba.com/games/20071030/UTAGSW/playbyplay.html	Golden State Warriors	GSW	Utah Jazz	UTA	NULL	2007-10-31 07:01:34	2008-12-09 13:27:30
NBA	2007-2008	2007-10-31	20071031CHINJN	http://www.nba.com/games/20071031/CHINJN/boxscore.html	http://www.nba.com/games/20071031/CHINJN/playbyplay.html	New Jersey Nets	NJN	Chicago Bulls	CHI	NULL	2007-11-01 00:19:36	2008-12-09 13:27:40
NBA	2007-2008	2007-10-31	20071031DALCLE	http://www.nba.com/games/20071031/DALCLE/boxscore.html	http://www.nba.com/games/20071031/DALCLE/playbyplay.html	Cleveland Cavaliers	CLE	Dallas Maverics	DAL	NULL	2007-11-01 00:45:29	2008-12-09 13:27:44
NBA	2007-2008	2007-10-31	20071031MILORL	http://www.nba.com/games/20071031/MILORL/boxscore.html	http://www.nba.com/games/20071031/MILORL/playbyplay.html	Orlando Magic	ORL	Milwaukee Bucks	MIL	NULL	2007-11-01 00:18:48	2008-12-09 13:27:49
NBA	2007-2008	2007-10-31	20071031PHITOR	http://www.nba.com/games/20071031/PHITOR/boxscore.html	http://www.nba.com/games/20071031/PHITOR/playbyplay.html	Toronto Raptors	TOR	Philadelphia 76ers	PHI	NULL	2007-11-01 00:18:18	2008-12-09 13:27:54
NBA	2007-2008	2007-10-31	20071031SACNOH	http://www.nba.com/games/20071031/SACNOH/boxscore.html	http://www.nba.com/games/20071031/SACNOH/playbyplay.html	New Orleans Hornets	NOH	Sacramento Kings	SAC	NULL	2007-11-01 00:30:25	2008-12-09 13:27:57
NBA	2007-2008	2007-10-31	20071031SASMEM	http://www.nba.com/games/20071031/SASMEM/boxscore.html	http://www.nba.com/games/20071031/SASMEM/playbyplay.html	Memphis Grizzlies	MEM	San Antonio Spurs	SAS	NULL	2007-11-01 00:21:12	2008-12-09 13:28:03
NBA	2007-2008	2007-10-31	20071031SEADEN	http://www.nba.com/games/20071031/SEADEN/boxscore.html	http://www.nba.com/games/20071031/SEADEN/playbyplay.html	Denver Nuggets	DEN	Seattle Supersonics	SEA	NULL	2007-11-01 04:46:14	2008-12-09 13:28:07
NBA	2007-2008	2007-10-31	20071031WASIND	http://www.nba.com/games/20071031/WASIND/boxscore.html	http://www.nba.com/games/20071031/WASIND/playbyplay.html	Indianapolis Pacers	IND	Washington Wizards	WAS	NULL	2007-11-01 00:22:03	2008-12-09 13:28:15
NBA	2007-2008	2007-11-01	20071101DETMIA	http://www.nba.com/games/20071101/DETMIA/boxscore.html	http://www.nba.com/games/20071101/DETMIA/playbyplay.html	Miami Heat	MIA	Detroit Pistons	DET	NULL	2007-11-02 00:47:39	2008-12-09 13:28:20
NBA	2007-2008	2007-11-01	20071101HOUUTA	http://www.nba.com/games/20071101/HOUUTA/boxscore.html	http://www.nba.com/games/20071101/HOUUTA/playbyplay.html	Utah Jazz	UTA	Houston Rockets	HOU	NULL	2007-11-02 00:50:02	2008-12-09 13:28:28
NBA	2007-2008	2007-11-01	20071101PHXSEA	http://www.nba.com/games/20071101/PHXSEA/boxscore.html	http://www.nba.com/games/20071101/PHXSEA/playbyplay.html	Seattle Supersonics	SEA	Phoenix Suns	PHX	NULL	2007-11-02 01:22:30	2008-12-09 13:28:32
NBA	2007-2008	2007-11-02	20071102DALATL	http://www.nba.com/games/20071102/DALATL/boxscore.html	http://www.nba.com/games/20071102/DALATL/playbyplay.html	Atlanta Hawks	ATL	Dallas Maverics	DAL	NULL	2007-11-03 13:03:50	2008-12-09 13:28:40
NBA	2007-2008	2007-11-02	20071102DENMIN	http://www.nba.com/games/20071102/DENMIN/boxscore.html	http://www.nba.com/games/20071102/DENMIN/playbyplay.html	Minnesota Timberwolves	MIN	Denver Nuggets	DEN	NULL	2007-11-03 10:25:09	2008-12-09 13:28:45
NBA	2007-2008	2007-11-02	20071102DETORL	http://www.nba.com/games/20071102/DETORL/boxscore.html	http://www.nba.com/games/20071102/DETORL/playbyplay.html	Orlando Magic	ORL	Detroit Pistons	DET	NULL	2007-11-03 10:25:45	2008-12-09 13:28:49
NBA	2007-2008	2007-11-02	20071102GSWLAC	http://www.nba.com/games/20071102/GSWLAC/boxscore.html	http://www.nba.com/games/20071102/GSWLAC/playbyplay.html	Los Angeles Clippers	LAC	Golden State Warriors	GSW	NULL	2007-11-03 10:26:24	2008-12-09 13:28:54
NBA	2007-2008	2007-11-02	20071102LALPHX	http://www.nba.com/games/20071102/LALPHX/boxscore.html	http://www.nba.com/games/20071102/LALPHX/playbyplay.html	Phoenix Suns	PHX	Los Angeles Lakers	LAL	NULL	2007-11-03 10:26:59	2008-12-09 13:28:57
