PlayerID	PlayerName	PlayerTrueName	League	TeamName3	Year	GameIDFound
1	J. Howard	Howard, Josh	NBA	DAL	2006-2007	Season Start
1	Howard	Howard, Josh	NBA	DAL	2006-2007	Season Start
2	Thomas	Thomas, Kurt	NBA	PHX	2006-2007	Season Start
2	K. Thomas	Thomas, Kurt	NBA	PHX	2006-2007	Season Start
3	Dampier	Dampier, Erick	NBA	DAL	2006-2007	Season Start
4	Marion	Marion, Shawn	NBA	PHX	2006-2007	Season Start
5	Nowitzki	Nowitzki, Dirk	NBA	DAL	2006-2007	Season Start
6	Terry	Terry, Jason	NBA	DAL	2006-2007	Season Start
7	R. Bell	Bell, Raja	NBA	PHX	2006-2007	Season Start
7	Bell	Bell, Raja	NBA	PHX	2006-2007	Season Start
8	Nash	Nash, Steve	NBA	PHX	2006-2007	Season Start
9	Christie	Christie, Doug	NBA	LAC	2006-2007	20070131CHILAC
10	Jones	Jones, James	NBA	PHX	2006-2007	20061031PHXLAL
10	Ja. Jones	Jones, James	NBA	PHX	2006-2007	Season Start
10	J. Jones	Jones, James	NBA	PHX	2006-2007	20061226PORPHX
12	Diaw	Diaw, Boris	NBA	PHX	2006-2007	Season Start
14	M. Daniels	Daniels, Marquis	NBA	IND	2006-2007	Season Start
14	Daniels	Daniels, Marquis	NBA	IND	2006-2007	Season Start
15	Harris	Harris, Devin	NBA	DAL	2006-2007	20061102SASDAL
15	D. Harris	Harris, Devin	NBA	DAL	2006-2007	Season Start
16	Barbosa	Barbosa, Leandro	NBA	PHX	2006-2007	Season Start
17	Diop	Diop, DeSagana	NBA	DAL	2006-2007	Season Start
19	Armstrong	Armstrong, Darrell	NBA	IND	2006-2007	Season Start
20	House	House, Eddie	NBA	NJN	2006-2007	Season Start
21	Martin	Martin, Kenyon	NBA	DEN	2006-2007	Season Start
21	K. Martin	Martin, Kenyon	NBA	DEN	2006-2007	Season Start
22	Nesterovic	Nesterovic, Rasho	NBA	TOR	2006-2007	Season Start
23	Camby	Camby, Marcus	NBA	DEN	2006-2007	Season Start
24	Ginobili	Ginobili, Manu	NBA	SAS	2006-2007	Season Start
25	Anthony	Anthony, Carmelo	NBA	DEN	2006-2007	Season Start
26	Duncan	Duncan, Tim	NBA	SAS	2006-2007	Season Start
28	Bowen	Bowen, Bruce	NBA	SAS	2006-2007	Season Start
28	B. Bowen	Bowen, Bruce	NBA	SAS	2006-2007	Season Start
29	Finley	Finley, Michael	NBA	SAS	2006-2007	Season Start
30	Parker	Parker, Tony	NBA	SAS	2006-2007	Season Start
30	W. Parker	Parker, Tony	NBA	SAS	2006-2007	20061105SASTOR
30	T. Parker	Parker, Tony	NBA	SAS	2006-2007	Season Start
31	A. Miller	Miller, Andre	NBA	DEN	2006-2007	Season Start
31	Miller	Miller, Andre	NBA	PHI	2006-2007	Transaction Li
31	Miller	Miller, Andre	NBA	DEN	2006-2007	Season Start
31	A. Miller	Miller, Andre	NBA	PHI	2006-2007	Transaction Li
32	Horry	Horry, Robert	NBA	SAS	2006-2007	Season Start
33	Barry	Barry, Brent	NBA	SAS	2006-2007	Season Start
34	Hilario	Hilario, Nene	NBA	DEN	2006-2007	20061102DENLAC
34	Nene	Hilario, Nene	NBA	DEN	2006-2007	Season Start
35	Boykins	Boykins, Earl	NBA	DEN	2006-2007	Season Start
35	Boykins	Boykins, Earl	NBA	MIL	2006-2007	20070112MILPHI
36	Najera	Najera, Eduardo	NBA	DEN	2006-2007	Season Start
