PlayerID	PlayerName	PlayerTrueName	League	TeamName3	Year	Position	Comment	StartDate	EndDate
1	Howard	Howard, Josh	NBA	WAS	2009-2010	3	20100217MINWAS	2010-02-13	2010-07-01
1	Howard	Howard, Josh	NBA	DAL	2009-2010	3	SeasonStart	2009-10-26	2010-02-13
2	Thomas	Thomas, Kurt	NBA	MIL	2009-2010	4.4	SeasonStart	2009-10-26	2010-07-01
3	Dampier	Dampier, Erick	NBA	DAL	2009-2010	5	SeasonStart	2009-10-26	2010-07-01
4	Marion	Marion, Shawn	NBA	DAL	2009-2010	3.4	SeasonStart	2009-10-26	2010-07-01
5	Nowitzki	Nowitzki, Dirk	NBA	DAL	2009-2010	4	SeasonStart	2009-10-26	2010-07-01
6	Terry	Terry, Jason	NBA	DAL	2009-2010	2	SeasonStart	2009-10-26	2010-07-01
7	Bell	Bell, Raja	NBA	CHA	2009-2010	2.2	SeasonStart	2009-10-26	2009-11-15
7	Bell	Bell, Raja	NBA	GSW	2009-2010	2.2	Trade	2009-11-16	2010-07-01
8	Nash	Nash, Steve	NBA	PHX	2009-2010	1	SeasonStart	2009-10-26	2010-07-01
10	Jones	Jones, James	NBA	MIA	2009-2010	3	SeasonStart	2009-10-26	2010-07-01
12	Diaw	Diaw, Boris	NBA	CHA	2009-2010	3.8	SeasonStart	2009-10-26	2010-07-01
14	Daniels	Daniels, Marquis	NBA	BOS	2009-2010	2.4	SeasonStart	2009-10-26	2010-07-01
15	Harris	Harris, Devin	NBA	NJN	2009-2010	1	SeasonStart	2009-10-26	2010-07-01
16	Barbosa	Barbosa, Leandro	NBA	PHX	2009-2010	1.6	SeasonStart	2009-10-26	2010-07-01
17	Diop	Diop, DeSagana	NBA	CHA	2009-2010	5	SeasonStart	2009-10-26	2010-07-01
20	House	House, Eddie	NBA	NYK	2009-2010	1.2	20100220OKCNYK	2010-02-18	2010-07-01
20	House	House, Eddie	NBA	BOS	2009-2010	1.2	SeasonStart	2009-10-26	2010-02-18
21	Martin	Martin, Kenyon	NBA	DEN	2009-2010	4	SeasonStart	2009-10-26	2010-07-01
22	Nesterovic	Nesterovic, Rasho	NBA	TOR	2009-2010	5	SeasonStart	2009-10-26	2010-07-01
23	Camby	Camby, Marcus	NBA	LAC	2009-2010	4.6	SeasonStart	2009-10-26	2010-02-18
23	Camby	Camby, Marcus	NBA	POR	2009-2010	4.6	20100219BOSPOR	2010-02-18	2010-07-01
24	Ginobili	Ginobili, Manu	NBA	SAS	2009-2010	2.4	SeasonStart	2009-10-26	2010-07-01
25	Anthony	Anthony, Carmelo	NBA	DEN	2009-2010	3	SeasonStart	2009-10-26	2010-07-01
26	Duncan	Duncan, Tim	NBA	SAS	2009-2010	4.8	SeasonStart	2009-10-26	2010-07-01
29	Finley	Finley, Michael	NBA	BOS	2009-2010	2.8	20100309BOSMIL	2010-03-09	2010-07-01
29	Finley	Finley, Michael	NBA	SAS	2009-2010	2.8	SeasonStart	2009-10-26	2010-03-09
30	Parker	Parker, Tony	NBA	SAS	2009-2010	1	SeasonStart	2009-10-26	2010-07-01
31	Miller	Miller, Andre	NBA	POR	2009-2010	1	SeasonStart	2009-10-26	2010-07-01
34	Hilario	Hilario, Nene	NBA	DEN	2009-2010	5	SeasonStart	2009-10-26	2010-07-01
34	Nene	Hilario, Nene	NBA	DEN	2009-2010	5	SeasonStart	2009-10-26	2010-07-01
35	Boykins	Boykins, Earl	NBA	WAS	2009-2010	1	20091114DETWAS	2009-11-13	2010-07-01
36	Najera	Najera, Eduardo	NBA	DAL	2009-2010	4	20100130PORDAL	2010-01-11	2010-07-01
36	Najera	Najera, Eduardo	NBA	NJN	2009-2010	4	SeasonStart	2009-10-26	2010-01-11
37	Oberto	Oberto, Fabricio	NBA	WAS	2009-2010	5	SeasonStart	2009-10-26	2010-07-01
40	Mohammed	Mohammed, Nazr	NBA	CHA	2009-2010	5	SeasonStart	2009-10-26	2010-07-01
42	Elson	Elson, Francisco	NBA	PHI	2009-2010	5	20100409MILPHI	2010-02-18	2010-07-01
42	Elson	Elson, Francisco	NBA	MIL	2009-2010	5	SeasonStart	2009-10-26	2010-02-18
45	Redd	Redd, Michael	NBA	MIL	2009-2010	2.2	SeasonStart	2009-10-26	2010-07-01
46	Iverson	Iverson, Allen	NBA	PHI	2009-2010	1.2	20091207DENPHI	2009-12-07	2010-07-01
46	Iverson	Iverson, Allen	NBA	MEM	2009-2010	1.2	SeasonStart	2009-10-26	2010-07-01
47	Ford	Ford, T.J.	NBA	IND	2009-2010	1	SeasonStart	2009-10-26	2010-07-01
48	Simmons	Simmons, Bobby	NBA	NJN	2009-2010	3	SeasonStart	2009-10-26	2010-07-01
