Team	PlusMinusTeam	PF	PA	Poss	Min	PlusMinusPer200Team
ATL	-388	7682	8070	15517	3976.0000	-5.00097
BOS	-280	7842	8122	15761	3966.4500	-3.55307
CHA	-305	7945	8250	15937	4000.2833	-3.82757
CHI	411	8100	7689	16045	3956.0000	5.12309
CLE	314	7934	7620	15670	3976.0000	4.00766
DAL	592	8201	7609	15448	3951.0000	7.66442
DEN	133	8639	8506	16635	3956.0000	1.59904
DET	341	7872	7531	15132	3976.0000	4.50701
GSW	-31	8733	8764	16880	3951.0000	-0.367298
HOU	398	7953	7555	15689	3971.0000	5.07362
IND	-200	7840	8040	15865	3956.0000	-2.52127
LAC	-38	7843	7881	15477	3946.0000	-0.491051
LAL	-6	8474	8480	16164	4006.0000	-0.074239
MEM	-422	8331	8753	16178	3996.0000	-5.21696
MIA	-75	7759	7834	15432	3971.0000	-0.972006
MIL	-359	8172	8531	15838	3971.0000	-4.5334
MIN	-303	7875	8178	15884	4001.0000	-3.81516
NJN	-63	8001	8064	15790	3976.0000	-0.797973
NOK	-129	7833	7962	15548	3976.0000	-1.65938
NYK	-236	7992	8228	15776	4000.2833	-2.99189
ORL	64	7771	7707	15324	3956.0000	0.835291
PHI	-248	7785	8033	15622	3976.0000	-3.17501
PHX	599	9037	8438	16371	3981.0000	7.31782
POR	-352	7717	8069	15279	3991.0000	-4.60763
SAC	-144	8303	8447	16207	3961.0000	-1.77701
SAS	690	8078	7388	15400	3956.0000	8.96104
SEA	-237	8115	8352	15699	3961.4500	-3.0193
TOR	81	8159	8078	15842	3951.0000	1.0226
UTA	235	8322	8087	15705	3961.0000	2.99268
WAS	-42	8556	8598	16113	3966.0000	-0.521318
