Team	Min	PossFor	PossOpp	PointsFor	PointsOpp	OffRtg	DefRtg	OverallRtg	ORebFor	ORebOpp	DRebFor	DRebOpp	ORebRate	DRebRate
ATL	3971.0000	7453	7432	8338	7956	111.874	107.051	4.82382	1366	1374	2620	2617	0.342958	0.655984
BOS	3908.0000	7438	7443	8039	7738	108.08	103.963	4.11667	1138	1308	2614	2539	0.309491	0.666497
CHA	3928.0000	7358	7365	7715	7610	104.852	103.327	1.52532	1366	1260	2644	2515	0.351971	0.677254
CHI	3981.0000	7717	7723	7993	8127	103.577	105.231	-1.65461	1392	1356	2903	2785	0.333254	0.681615
CLE	3956.0000	7494	7506	8373	7838	111.729	104.423	7.30626	1284	1227	2860	2540	0.335774	0.69978
DAL	3976.0000	7678	7676	8364	8141	108.935	106.058	2.87678	1157	1327	2749	2728	0.297812	0.674436
DEN	3908.0000	7703	7698	8610	8304	111.775	107.872	3.90246	1357	1394	2667	2655	0.338235	0.656735
DET	3956.0000	7299	7301	7709	8128	105.617	111.327	-5.71001	1543	1218	2416	2582	0.374061	0.664832
GSW	3946.0000	8274	8276	8922	9217	107.832	111.37	-3.53847	1148	1531	2571	2994	0.277161	0.626767
HOU	3933.0000	7711	7707	8314	8341	107.82	108.226	-0.40629	1397	1267	2617	2771	0.335173	0.67379
IND	3941.0000	7955	7962	8263	8510	103.872	106.883	-3.01091	1180	1466	2801	3008	0.281757	0.656433
LAC	3941.0000	7604	7598	7849	8370	103.222	110.161	-6.93858	1345	1313	2674	2680	0.334161	0.67068
LAL	3870.0000	7496	7485	8157	7772	108.818	103.834	4.9837	1352	1296	2784	2661	0.336905	0.682353
MEM	3981.0000	7753	7755	8404	8528	108.397	109.968	-1.57101	1615	1295	2654	2552	0.387569	0.672069
MIA	3976.0000	7393	7416	7914	7727	107.047	104.194	2.85357	1279	1326	2718	2664	0.324372	0.672107
MIL	3900.0000	7460	7466	7817	7706	104.786	103.215	1.57095	1351	1153	2648	2853	0.321361	0.696659
MIN	3908.0000	7844	7837	7957	8742	101.441	111.548	-10.1072	1400	1262	2676	2792	0.333969	0.679533
NJN	3908.0000	7474	7471	7498	8226	100.321	110.106	-9.78463	1256	1326	2495	2803	0.309436	0.65297
NOH	3918.0000	7573	7564	8124	8328	107.276	110.1	-2.82463	1187	1259	2565	2729	0.303115	0.670764
NYK	3976.0000	7784	7809	8373	8686	107.567	111.231	-3.66383	1179	1310	2630	2891	0.289681	0.667513
OKC	3913.0000	7574	7607	8232	7917	108.688	104.075	4.61242	1335	1329	2728	2543	0.34425	0.672418
ORL	3946.0000	7540	7537	8426	7812	111.751	103.649	8.102	1252	1252	2918	2673	0.318981	0.69976
PHI	3913.0000	7503	7475	7916	8237	105.504	110.194	-4.68952	1302	1293	2541	2606	0.333163	0.662754
PHX	3946.0000	7832	7852	9039	8637	115.411	109.997	5.41368	1331	1571	2803	2551	0.342865	0.640832
POR	3923.0000	7177	7175	7963	7675	110.952	106.969	3.98301	1304	1229	2532	2474	0.345156	0.673225
SAC	3928.0000	7697	7699	8116	8477	105.444	110.105	-4.66153	1411	1307	2676	2727	0.340986	0.671855
SAS	3956.0000	7543	7551	8312	7895	110.195	104.556	5.63919	1332	1233	2817	2625	0.336619	0.695556
TOR	3956.0000	7687	7671	8534	8680	111.019	113.153	-2.13483	1219	1338	2679	2636	0.316213	0.666916
UTA	3903.0000	7633	7616	8460	8014	110.835	105.226	5.60869	1335	1279	2713	2475	0.350394	0.679609
WAS	3966.0000	7588	7562	7892	8284	104.006	109.548	-5.54141	1369	1383	2642	2686	0.337608	0.656398
